cg15698548	immune.cell.proportion	type
0.907337363632893	0.954601447246891	Control
0.808643685453585	0.667602086690338	Control
0.544190644634266	0.34265338583768	Control
0.718289796239522	0.739964872380819	Control
0.836116116008396	0.839969824965385	Control
0.865043243417246	0.854339596823019	Control
0.495338219849729	0.458967149507105	Control
0.821677541945865	0.779444017923686	Control
0.728835718138256	0.684868954865338	Control
0.865406326758791	0.727981305505646	Control
0.829843842340066	0.784079893673467	Control
0.889910417274449	0.950701425143518	Control
0.718662151417426	0.50158613912235	Control
0.910501428139725	0.927035094311054	Control
0.353364957456439	0.19567655210816	Control
0.543154294530595	0.592223674117473	Control
0.488230396297396	0.274204848482443	Control
0.764497122401486	0.668852705022471	Control
0.530322063045417	0.293922777658187	Control
0.207214751239898	0.0583880829779853	Control
0.542402072090492	0.460652226314014	Control
0.20808953752078	0	Control
0.320794942007923	0.00280666085073405	Control
0.16450518845886	0.144717171336722	Control
0.775757622338851	0.785914998733103	Control
0.630045690960072	0.415387045810946	Control
0.35050626471653	0.148653762188546	Control
0.419926673720447	0.0564130206777306	Control
0.548813613450772	0.385024417255426	Control
0.866100192884504	0.890773576466275	Control
0.344225692874863	0.0196161154486661	Control
0.179232512358392	0.0116600573118765	Control
0.819972566647604	0.817636442800044	Control
0.639651610130293	0.507127453109194	Control
0.17295822267779	0	Control
0.867289288940919	0.917511967333428	Control
0.573164036593456	0.467137356070747	Control
0.311010551788154	0.277873228966126	Control
0.857769036709029	0.754764568086236	Control
0.637421685197466	0.568886311372708	Control
0.881732513423336	0.769101701550818	Control
0.81890595625508	0.715066988234814	Control
0.504491364383009	0.173442853014295	Control
0.703893828276742	0.607285905937909	Control
0.717381678966732	0.641760236979806	Control
0.685719059729656	0.480701127785605	Control
0.390484589920394	0.298899790731167	Control
0.336344908149146	0.0391828767413289	Control
0.655743046844943	0.522756901318765	Control
0.445393303026329	0.14895254456136	Control
0.843055091463404	0.702209327789074	Control
0.894217005758469	0.833071009653516	Control
0.649587367449353	0.506797495688785	Control
0.84492122752775	0.793103585530844	Control
0.456653272433821	0.0372266248696219	Control
0.351373350704031	0.179178898268077	Control
0.315621045520047	0.179276787302278	Control
0.512448050734473	0.57106128937602	Control
0.589283510157447	0.480434589473541	Control
0.567195789103241	0.404913848277563	Control
0.505955013450458	0.245078963661621	Control
0.739621096805625	0.684000194295875	Control
0.776833191986568	0.700750905010297	Control
0.58254096064582	0.499891392851338	Control
0.810219205985293	0.83732273793677	Control
0.141843774791717	0	Control
0.425156563074971	0.0979730554768622	Control
0.590295682294274	0.583085160266205	Control
0.533816078180384	0.204776594820699	Control
0.726351639894823	0.681052360113414	Control
0.711803516218931	0.626021382539566	Control
0.586762129323689	0.590271737463142	Control
0.487414718945557	0.404446988099133	Control
0.398570047312638	0.248219895226463	Control
0.696686821416503	0.642259656103987	Control
0.689282440331054	0.565597631032831	Control
0.225768318812544	0	Control
0.547142124265373	0.442609248919443	Control
0.771327008837353	0.765201493930945	Control
0.843741244320126	0.778195937067176	Control
0.278779541270259	0.0256626577924494	Control
0.931580755657072	0.892046087674694	Control
0.687532835024322	0.521322321637276	Control
0.761044806268542	0.770594279558286	Control
0.659981919416607	0.581205780105005	Control
0.457458947709161	0.179820835244066	Control
0.394768832209102	0.31118433400871	Control
0.294857240613476	0	Control
0.915858330567903	0.898627513975421	Control
0.742081839138558	0.530787279673812	Control
0.789126720137902	0.774378812015884	Control
0.741876275150612	0.595706649057314	Control
0.843229712094613	0.806841296134458	Control
0.352519598092035	0.202087348307756	Control
0.890264375518532	0.937831099640405	Control
0.419312353407294	0.33118753933703	Control
0.809595009429278	0.607761735978774	Control
