immune cell proportion	TGCA-BC-index	type	tissue
0	-1.87278567741749	Control	Breast tissue
0.109342565195632	0.844938389529968	Breast cancer	Breast tissue
0.0625436142037694	-2.01030057172453	Control	Breast tissue
0	-1.18959313921183	Control	Breast tissue
0.0828910129287665	0.960814123575927	Breast cancer	Breast tissue
0.08141789647217	-0.151233591070858	Breast cancer	Breast tissue
0.05472894839976	-1.10858279538947	Breast cancer	Breast tissue
0.298329312750627	0.333467439918649	Breast cancer	Breast tissue
0.067830582738954	0.40708080184585	Breast cancer	Breast tissue
0.0987773411547507	-0.255738517396654	Breast cancer	Breast tissue
0.124859095544226	0.774099913890009	Breast cancer	Breast tissue
0.109676787072994	0.925943176483028	Breast cancer	Breast tissue
0	1.52995331824471	Breast cancer	Breast tissue
0.0244207501311138	0.909904206675338	Breast cancer	Breast tissue
0.197945925016372	1.15407165584908	Breast cancer	Breast tissue
0.0118022073996773	-1.62889215138924	Control	Breast tissue
0	-2.0381485130752	Control	Breast tissue
0.0337722803771949	0.653375103623131	Breast cancer	Breast tissue
0.158102520778355	0.0108679044764005	Breast cancer	Breast tissue
0.437839371171314	-0.676538196452962	Breast cancer	Breast tissue
0.160896105753925	0.738157850791715	Breast cancer	Breast tissue
0.112520807514369	0.947796081238297	Breast cancer	Breast tissue
0.11576170155759	0.427480776301024	Breast cancer	Breast tissue
0.127392649032704	0.369068213842271	Breast cancer	Breast tissue
0	1.13779450111742	Breast cancer	Breast tissue
0.450066959112854	-0.148736362324128	Breast cancer	Breast tissue
0.0541651138532198	-1.39090370655744	Control	Breast tissue
0.0962079571766894	-0.252146259430804	Breast cancer	Breast tissue
0.0109042138097825	0.9293874857269	Breast cancer	Breast tissue
0.0648070558639413	0.89174629386119	Breast cancer	Breast tissue
0	0.846954574131599	Breast cancer	Breast tissue
0.0276401296319285	0.728273730336263	Breast cancer	Breast tissue
0.0517530863938847	0.896349261178153	Breast cancer	Breast tissue
0.524538506905621	0.26884438453516	Breast cancer	Breast tissue
0.190775840856996	0.229757631448881	Breast cancer	Breast tissue
0	1.02991403783413	Breast cancer	Breast tissue
0.106615562165269	1.13939737600288	Breast cancer	Breast tissue
0.0600712239116086	-1.90257657145281	Control	Breast tissue
0.138017850471681	0.494053657502246	Breast cancer	Breast tissue
0.111430775294988	1.28946398202719	Breast cancer	Breast tissue
0.0412107117038022	-1.82049483008774	Control	Breast tissue
0.152446105583	0.367026548872735	Breast cancer	Breast tissue
0.097214742819921	1.52436564770989	Breast cancer	Breast tissue
0.198906660113478	0.899576809125035	Breast cancer	Breast tissue
0.192824285315082	0.332386895484522	Breast cancer	Breast tissue
0.0882909447241328	0.849528871255338	Breast cancer	Breast tissue
0.165879751068574	0.112588391461747	Breast cancer	Breast tissue
0.120526078449227	0.615115091585305	Breast cancer	Breast tissue
0.545493490587102	0.0318370694325038	Breast cancer	Breast tissue
0.202544362498984	0.796246637296224	Breast cancer	Breast tissue
0.0353362729323768	0.481718365478993	Breast cancer	Breast tissue
0	-2.12561224205285	Control	Breast tissue
0.0120843222823689	0.0415105215288475	Breast cancer	Breast tissue
0.00402066453283617	-1.76018375514605	Control	Breast tissue
0.112186120243555	-0.0729271927270224	Breast cancer	Breast tissue
0.0520415923744518	1.11268493342107	Breast cancer	Breast tissue
0.119893245996907	1.52373847181465	Breast cancer	Breast tissue
0.0808730118662992	0.726877599690196	Breast cancer	Breast tissue
0.199649149037353	0.375703474835975	Breast cancer	Breast tissue
0.245161962611683	-0.508865282809477	Breast cancer	Breast tissue
0.249081876006325	-0.000900531721815606	Breast cancer	Breast tissue
0.0235680322419048	1.0900287343495	Breast cancer	Breast tissue
0.0835368530786547	1.23307727171653	Breast cancer	Breast tissue
0.114157198655231	1.40186906680761	Breast cancer	Breast tissue
0	-2.30176350675006	Control	Breast tissue
0.0266356403953859	-2.01345726933724	Control	Breast tissue
0.232393600979087	0.416201337499737	Breast cancer	Breast tissue
0.45564275974771	0.185239903217927	Breast cancer	Breast tissue
