signal-to-noise	dataset
7.83	3C
7.93	3C
7.46	3C
7.57	3C
7.75	3C
7.95	3C
7.57	3C
6.89	3C
6.19	3C
6.98	3C
6.47	3C
6.54	3C
5.89	3C
6.33	3C
6.46	3C
6.4	3C
6.69	3C
7.07	3C
6.68	3C
6.6	3C
6.6	3C
7.05	3C
6.2	3C
6.52	3C
5.5	3C
6.39	3C
5.95	3C
5.61	3C
5.26	3C
7.55	3C
7.92	3C
7.73	3C
8.02	3C
7.63	3C
7.29	3C
6.89	3C
7.47	3C
7.48	3C
7.31	3C
6.46	3C
6.39	3C
6.75	3C
6.6	3C
6.99	3C
6.48	3C
6.33	3C
7.06	3C
6.9	3C
7.28	3C
7.91	3C
8.02	3C
8.68	3C
7.46	3C
6.67	3C
6.67	3C
7.57	3C
7.75	3C
8.24	3C
7.84	3C
7.65	3C
7.38	3C
6.53	3C
8.24	3C
8.05	3C
8.46	3C
7.21	3C
7.57	3C
8.44	3C
7.2	3C
7.84	3C
7.21	3C
8.03	3C
7.05	3C
6.74	3C
6.46	3C
6.89	3C
7.84	3C
8.02	3C
9.28	3C
8.93	3C
8.93	3C
9.29	3C
8.03	3C
8.78	3C
7.82	3C
9.99	3C
8.23	3C
8.44	3C
9.14	3C
9.85	3C
10.78	3C
5.55	3C
6.2	3C
5.57	3C
5.73	3C
5.95	3C
5.84	3C
6.26	3C
3.92	3C
4.41	3C
4.6	3C
4.88	3C
5.94	3C
7.38	3C
7.75	3C
6.96	3C
7.37	3C
8.34	3C
7.73	3C
7.05	3C
6.89	3C
7.13	3C
7.3	3C
6.66	3C
7.65	3C
7.13	3C
7.56	3C
7.14	3C
8.56	3C
7.83	3C
8.79	3C
9.03	3C
9.05	3C
8.91	3C
8.58	3C
6.37	3C
8.45	3C
7.66	3C
8.03	3C
8.45	3C
8.23	3C
7.83	3C
7.84	3C
7.38	3C
7.91	3C
8.22	3C
8.33	3C
8.33	3C
9.04	3C
8.78	3C
8.12	3C
10.29	3C
8.45	3C
10.62	3C
11.33	3C
8.03	3C
9.29	3C
9.44	3C
9.42	3C
10.47	3C
9.29	3C
8.44	3C
5.4	3C
5.95	3C
6.14	3C
6.4	3C
6.14	3C
6.28	3C
5.46	3C
6.6	3C
6.67	3C
6.82	3C
7.24	3C
7.33	3C
7.75	3C
8.06	3C
7.06	3C
5.41	3C
6.15	3C
6.02	3C
7.23	3C
6.55	3C
6.35	3C
6.04	3C
7	3C
7.05	3C
7.38	3C
6.89	3C
7.22	3C
7.93	3C
8.14	3C
7.94	3C
7.12	3C
6.89	3C
7.12	3C
7.13	3C
8.24	3C
7.13	3C
5.94	3C
5.6	3C
6.89	3C
6.38	3C
7.29	3C
6.97	3C
7.83	3C
6.06	3C
6.52	3C
6.98	3C
5.77	3C
7.3	3C
6.39	3C
6.67	3C
6.61	3C
6.27	3C
6.6	3C
6.7	3C
6.97	3C
7.05	3C
7.57	3C
6.2	3C
6.89	3C
8.15	3C
7.14	3C
7.65	3C
8.81	3C
7.3	3C
4.56	3C
4.72	3C
5.26	3C
6.15	3C
5.57	3C
6.61	3C
7.74	3C
7.94	3C
8.05	3C
7.65	3C
8.94	3C
9.05	3C
8.46	3C
8.46	3C
7.47	3C
7.76	3C
8.15	3C
7.56	3C
7.94	3C
6.62	3C
5.83	3C
6.33	3C
6.91	3C
6.82	3C
6.2	3C
6.89	3C
6.52	3C
6.53	3C
7.3	3C
7.05	3C
6.97	3C
7.57	3C
6.82	3C
6.82	3C
6.19	3C
6.59	3C
6.06	3C
6.91	3C
7.22	3C
7.22	3C
7.13	3C
7.38	3C
8.04	3C
8.24	3C
8.46	3C
