Mean PRBS methylation	type
0.526018712580892	BRCA Carrier
0.59089309960911	BRCA Carrier
0.676239850410611	Control
0.666336027291677	Control
0.662729144497765	BRCA Carrier
0.544402701125564	BRCA Carrier
0.648139614211523	Control
0.641736197225186	Control
0.792404730845984	BRCA Carrier
0.665884222771283	BRCA Carrier
0.56168386961067	Control
0.770019466726666	Control
0.52868316648119	BRCA Carrier
0.574793547671992	BRCA Carrier
0.685326287182493	Control
0.629001352196776	Control
0.542218301559047	BRCA Carrier
0.609720903677302	BRCA Carrier
0.621262179806011	Control
0.741099588360146	Control
0.73463291962226	Control
0.689195367273162	Control
0.599226453114077	BRCA Carrier
0.601547365081558	BRCA Carrier
0.688464010637241	Control
0.677753637092996	Control
0.750667471769197	BRCA Carrier
0.65042758847794	BRCA Carrier
