type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.178516946412689	0.0543238574135762	0.0240968263583473	0.0240797796029078	0.0145971947119513	0	0.0524773494671749	0.651908046033353	0
Control	0.270840829713493	0.0396806989990594	0.0272665531411213	0.0419551727737982	0.027192332120582	0	0.0450428994339729	0.548021513817973	0
Breast cancer	0.154912709778081	0.0441850827149348	0.0285227861326018	0.0304608390393997	0.0219886789519512	0	0.0310312060248386	0.688898697358192	0
Control	0.166033253349494	0.0375664419126528	0.0626220581523407	0.100604149839919	0.0767493035691641	0	0.0979143245528414	0.458510468623588	0
Breast cancer	0.576601574976069	0	0.0580521330625937	0.0696862766449458	0.0494524072564831	0	0.0618695227985657	0.184338085261342	0
Breast cancer	0.990997723968135	0	0.0015205863060939	0.0024950261525374	0.00159768805626321	0	0.00206986667216922	0.00118213399081549	0.00013697485398542
Control	0.474540287504528	0.0110312085217366	0.0630861429083046	0.0890002753902506	0.0541067378259878	0	0.0800917812109792	0.228143566638213	0
Breast cancer	0.277640049996993	0.05914609040238	0.0442594927677707	0.0512529386093394	0.0383995904294371	0	0.0655408354712577	0.463761002322822	0
Control	0.125625371173667	0.0155546398932091	0.0244227767189748	0.0459075891309082	0.04049283828873	0	0.33603570120927	0.41196108358524	0
Control	0.293125005502485	0.0501775155170988	0.042255250927125	0.0568693552585232	0.041013992325686	0	0.0585569058719688	0.458001974597113	0
Breast cancer	0.398041821009827	0.0615073591518138	0.0474462948889644	0.0639142059970549	0.05060484717566	0	0.0766428347992405	0.301842636977439	0
Control	0.808673325855708	0	0.0302339760407388	0.039851539945852	0.0243762488375002	0	0.0429406650801643	0.0538117510546492	0.00011249318538775
Breast cancer	0.785410745451647	0	0.0341599479278826	0.0452281200925492	0.0329849717282402	0	0.0420611904124143	0.0514276131263377	0.008727411260929
Control	0.956541534793732	0	0.00785255134538317	0.0109045150556081	0.0103534092999685	0	0.0092036464093308	0.00196353753292787	0.00318080556304981
Breast cancer	0.367838395206098	0.0382402707775189	0.0623179684685947	0.0725265339690344	0.0400441121067907	0	0.114629304520669	0.304403414951294	0
Control	0.947655159571144	0	0.00983280560578679	0.0123098236687606	0.00802653855834615	0	0.0112136518570732	0.0109280547730837	3.39659658055762e-05
Breast cancer	1	0	0	0	0	0	0	0	0
