type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
BRCA1	0.159745975422158	0.0305291186800018	0.0237687602166356	0.0260533549342854	0.0199096256319648	0	0.028211535675219	0.711781629439735	0
Control	0.292015609666905	0.0667105710448028	0.0384428354545614	0.0546781257510461	0.0444486152755805	0	0.0628561373491308	0.440848105457973	0
Control	0.425033833545434	0.0454214519106248	0.0586936140048662	0.0740614220888981	0.0560589474534086	0	0.0579020113102015	0.282828719686567	0
BRCA1	0.516106079258514	0.0294799294178124	0.05750017176917	0.0742258856483792	0.055300871366579	0	0.0642008723860124	0.203186190153533	0
Control	0.255661465551147	0.0574256317297124	0.0473581313866842	0.0595557709660996	0.0375149748369571	0	0.0502083182652539	0.492275707264146	0
Control	0.356810416244842	0.0480958164248332	0.0407931880316264	0.0565167034777234	0.0428807743382433	0	0.0505498515177145	0.404353249965017	0
BRCA1	0.334566930342996	0.0661388778519724	0.0492221844035782	0.0667279488696169	0.0513824219862113	0	0.0592142969484144	0.372747339597211	0
Control	0.315936313994542	0.0541479938785992	0.047981311180957	0.073777276603563	0.0596244838650307	0	0.0588968222703821	0.389635798206926	0
Control	0.927912112984862	0	0.0124078694089861	0.0169025156792324	0.0120764709576276	0	0.0144948016564658	0.0135848897228247	0.00262133959000123
BRCA1	0.170806831782154	0.0487688108938795	0.0220696485728295	0.0304496359514628	0.0208975528614206	0	0.0374785193254716	0.669529000612781	0
Control	0.276219621498497	0.0604637678245177	0.03189879574706	0.0477698184684662	0.0403208196512167	0	0.0406203683309381	0.502706808479304	0
Control	0.64307212838075	0	0.0453347014221598	0.0648034178278433	0.0453101834901646	0	0.0646206265555626	0.136858942323519	0
Control	0.102913108274065	0.0293082412176929	0.0165699887091278	0.0148063125337627	0.00816461417228721	0	0.0183051166747326	0.809932618418332	0
BRCA1	0.130358509199403	0.0213163753482254	0.018221457701817	0.0168175707832259	0.00491521615403142	0	0	0.808370870813297	0
Control	0.568658269704499	0	0.04534270698163	0.0677140909840379	0.0562345290140379	0	0.0476148158807839	0.214435587435011	0
BRCA1	0.972350135969996	0	0.00443130339886817	0.00640239823889484	0.00583958391407231	0	0.00527341100897857	0.00487906893232607	0.000824098536864214
Control	0.660687409879358	0.00328153794862226	0.0474194238800034	0.0676555602894703	0.0546823569469719	0	0.046145053014552	0.120128658041022	0
BRCA1	0.0507803022105034	0.0151193023600758	8.4737932576358e-08	0	0.00390175477558359	0	0	0.930198555915905	0
BRCA1	0.114924845131191	0.0297411445619856	0.0170902031741913	0.0212572950389329	0.0166470421443776	0	0.0105697558066795	0.789769714142642	0
Control	0.512712676255435	0.027679816763398	0.0455615101317077	0.066087900541483	0.0561418002484898	0	0.0460492512148226	0.245767044844664	0
Control	0.338826605474824	0.0587278140585367	0.0489789112529506	0.0650260573293009	0.0476010153209374	0	0.0746492546321249	0.366190341931325	0
Control	0.142644044948526	0.049508081505324	0.0235394546290921	0.0334220679541699	0.0237315408211586	0	0.0255090177596642	0.701645792382065	0
BRCA1	0.709711904564013	0	0.0440606394413032	0.0533774715915055	0.0417321423143897	0	0.0511854786735456	0.0999323634152433	0
BRCA1	0.715203490232559	0.00102934388177141	0.039914135611266	0.0581106663517235	0.0443397986400881	0	0.0477039895345028	0.0936985757480896	0
BRCA1	0.0673751715154115	0.0168598427695393	0.00472675145201928	0.00595624558688924	0.0141283819023474	0	0.00452017381518787	0.886433432958605	0
Control	0.990921673898896	0	0.00159093792210644	0.00214882806408413	0.00166378152418499	0	0.00172870427071718	0.00161228676232886	0.000333787557682271
BRCA1	0.933174512225289	0	0.0117085077842884	0.0148075633849061	0.0101571667791981	0	0.0125713951992657	0.0175808546270525	0
