type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.292015609666905	0.0667105710448028	0.0384428354545614	0.0546781257510461	0.0444486152755805	0	0.0628561373491308	0.440848105457973	0
BRCA2	0.970864223399497	0	0.00517143267344752	0.00744817281581561	0.00573922883003598	0	0.00666302519928411	0.00314852213558768	0.000965394946331712
Control	0.425033833545434	0.0454214519106248	0.0586936140048662	0.0740614220888981	0.0560589474534086	0	0.0579020113102015	0.282828719686567	0
BRCA2	0.202390501180565	0.0411959790176943	0.0356530003460241	0.0421528544427593	0.0285389544072936	0	0.0447564425935034	0.60531226801216	0
Control	0.255661465551147	0.0574256317297124	0.0473581313866842	0.0595557709660996	0.0375149748369571	0	0.0502083182652539	0.492275707264146	0
Control	0.356810416244842	0.0480958164248332	0.0407931880316264	0.0565167034777234	0.0428807743382433	0	0.0505498515177145	0.404353249965017	0
Control	0.315936313994542	0.0541479938785992	0.047981311180957	0.073777276603563	0.0596244838650307	0	0.0588968222703821	0.389635798206926	0
BRCA2	0.260555043053459	0.0722663341748982	0.024798202459374	0.0343962226231455	0.0234549864414584	0	0.0342620861821538	0.550267125065511	0
Control	0.927912112984862	0	0.0124078694089861	0.0169025156792324	0.0120764709576276	0	0.0144948016564658	0.0135848897228247	0.00262133959000123
Control	0.276219621498497	0.0604637678245177	0.03189879574706	0.0477698184684662	0.0403208196512167	0	0.0406203683309381	0.502706808479304	0
BRCA2	0.600040005704705	0.0306712997626068	0.0580315485204686	0.081538759520484	0.0659007859455895	0	0.0707139905276073	0.0787256871950852	0.0143779228234541
Control	0.64307212838075	0	0.0453347014221598	0.0648034178278433	0.0453101834901646	0	0.0646206265555626	0.136858942323519	0
BRCA2	0.626574383705962	0	0.0490863410168947	0.0687262796431816	0.0499101640845918	0	0.0606500784447126	0.145052753104657	0
Control	0.102913108274065	0.0293082412176929	0.0165699887091278	0.0148063125337627	0.00816461417228721	0	0.0183051166747326	0.809932618418332	0
BRCA2	0.3199950766194	0.0901847961626843	0.0507814571353193	0.0660015881960721	0.0483899858329443	0	0.0535910318758743	0.371056064177706	0
BRCA2	0.500290362258127	0.0295176926917965	0.0506325103398482	0.0734036542344698	0.0650000259817253	0	0.0877763341936954	0.193379420300338	0
Control	0.568658269704499	0	0.04534270698163	0.0677140909840379	0.0562345290140379	0	0.0476148158807839	0.214435587435011	0
Control	0.660687409879358	0.00328153794862226	0.0474194238800034	0.0676555602894703	0.0546823569469719	0	0.046145053014552	0.120128658041022	0
Control	0.512712676255435	0.027679816763398	0.0455615101317077	0.066087900541483	0.0561418002484898	0	0.0460492512148226	0.245767044844664	0
BRCA2	0.13679769719877	0.0383971885299978	0.0625954062324225	0.0685532774487947	0.0504102269632256	0	0.0576125578554972	0.585633645771292	0
Control	0.338826605474824	0.0587278140585367	0.0489789112529506	0.0650260573293009	0.0476010153209374	0	0.0746492546321249	0.366190341931325	0
Control	0.142644044948526	0.049508081505324	0.0235394546290921	0.0334220679541699	0.0237315408211586	0	0.0255090177596642	0.701645792382065	0
BRCA2	0.262784350796251	0.0382841123876622	0.0345685978124508	0.039713819145479	0.03014655946728	0	0.0220083421457495	0.572494218245128	0
BRCA2	0.132746077639963	0.0468611845298967	0.0226166658268749	0.0359949813552276	0.0298276007678565	0	0.0372100127042644	0.694743477175917	0
Control	0.990921673898896	0	0.00159093792210644	0.00214882806408413	0.00166378152418499	0	0.00172870427071718	0.00161228676232886	0.000333787557682271
Control	0.333616835576306	0.0552333709079133	0.0485678384068123	0.0563834964391956	0.0418309315822821	0	0.065571816844452	0.398795710243039	0
BRCA2	0.393696049919241	0.0285177514265778	0.0453314840368225	0.059707461437981	0.0404525079560536	0	0.0415812980752187	0.390713447148105	0
Control	0.44115819561586	0.0440166999165743	0.0431064252367742	0.0621223385324935	0.0537370321024723	0	0.0439985854571511	0.311860723138675	0
BRCA2	0.050196817898151	0.0111438774443122	0.00731663667612139	0.00447812341794797	0.00526692566965236	0	0.0145099204235917	0.907087698470223	0
Control	0.935556509207706	0	0.0111357789038817	0.0143143105169808	0.0111438618274255	0	0.0154017348606722	0.0106117839957912	0.00183602068754221
Control	0.127748834283752	0.0450592962661564	0.0381832950112276	0.0408877254057974	0.0250450703134385	0	0.0547524469561215	0.668323331763506	0
Control	0.177226885167914	0.0462649884482298	0.0268420041678332	0.025950379803663	0.0179166066606591	0	0.0297317269813316	0.676067408770369	0
Control	0.69015046363408	0.00531562312782231	0.0441817697744102	0.0627130407492381	0.0471713520526652	0	0.049022483138653	0.0990444001264772	0.00240086739665432
Control	0.533710993427337	0.0106985733498977	0.0593554588785399	0.075055646291676	0.0622123095429679	0	0.0647113434136949	0.194255675095886	0
BRCA2	0.777141280572169	0.00790246128929129	0.0396089857297065	0.0532452777975602	0.0398386908263528	0	0.034934295349974	0.0456997066828803	0.00162930175206621
BRCA2	0.156600907447962	0.0289443521536373	0.0206989383972138	0.024195581779171	0.0179915317523939	0	0.0234246690558322	0.72814401941379	0
BRCA2	0.258587905374078	0.0605352493027731	0.0523886106815555	0.0641193654302268	0.0410788786807453	0	0.0853447076253324	0.437945282905289	0
Control	0.89735014710094	0	0.0173084245276854	0.0232778786818303	0.0172464436034769	0	0.0222913383612027	0.0215302727394737	0.000995494985391044
BRCA2	0.28457559589842	0.046442403933799	0.0695217615090592	0.0947942173943658	0.0694010215070642	0	0.0909591322363765	0.344305867520916	0
BRCA2	0.825410755197416	0	0.0293161906374075	0.039704431681136	0.0310161221750045	0	0.0358244139408242	0.0364122731681651	0.00231581320004622
Control	0.206252241411983	0.0771964597714636	0.0324557437716877	0.0451431269560117	0.0403528605241264	0	0.0429816912935201	0.555617876271208	0
Control	0.819430905011536	0	0.0326472674209541	0.0409641945941659	0.0351905308465587	0	0.0348859288710834	0.0312551485135574	0.00562602474214414
BRCA2	0.083194641489705	0.0169432067036489	0.0112916685683584	0.013791083236058	0.0154110156091191	0	0.0236224327617405	0.83574595163137	0
Control	0.34378344327721	0.0850814108951136	0.0692536202366227	0.0876302796736017	0.0680117093845504	0	0.0827682643214165	0.263471272211485	0
BRCA2	0.534004112787385	0.0346537602513971	0.0533749871799479	0.0694548062220214	0.0615957710354615	0	0.0718280498888005	0.175088512634986	0
Control	0.23608440100261	0.0686802239336631	0.0468198579083859	0.0601576667237434	0.0417871590547489	0	0.0642426449497969	0.482228046427052	0
BRCA2	0.822420077558813	0	0.0258081806278275	0.0392520195049313	0.0316104246907116	0	0.0387887379988702	0.0390564500746421	0.0030641095442047
BRCA2	0.453235990754049	0.0439751821821151	0.0568902270230819	0.0692965168915778	0.0501507562816893	0	0.0718409213629701	0.254610405504517	0
Control	0.0779985797218028	0.0262374546080149	0.00724609503388481	0.0127220976911267	0.0122300630830682	0	0	0.863565709862103	0
BRCA2	0.228868546370794	0.0507745746851418	0.0316094177628798	0.0387311155267392	0.0257723067880763	0	0.0427625967983351	0.581481442068034	0
Control	0.693702992715825	0	0.0503757931933817	0.0622982639869848	0.0461719620810507	0	0.0486993274276582	0.0839399824281735	0.0148116781669264
BRCA2	0.859741389726829	0	0.0232374009428658	0.030442365131848	0.0267046602168732	0	0.0297298318777441	0.0282170812660249	0.00192727083781499
Control	0.100479564526704	0.0233115428383159	0	0.0098063522766771	0.0137268089988909	0	0.0129610069814853	0.839714724377927	0
BRCA2	0.161663412789208	0.0573020205416252	0.0382810808176603	0.0463649470012923	0.0380766784353746	0	0.0604349514024752	0.597876909012365	0
Control	0.501576740218556	0.00766116887751038	0.0546897486108208	0.0710915394850747	0.0639662599930588	0	0.0534827478686679	0.247531794946311	0
Control	0.566777427232762	0.0540496155466348	0.0456664332979874	0.0668541245190981	0.0599854221432255	0	0.0748293481250207	0.131837629135271	0
Control	0.75309918811619	0	0.0396687044797127	0.0505075438986507	0.0341898882860579	0	0.0464372369230031	0.0699084458989759	0.00618899239740975
Control	0.0692795137846247	0.0156062578841808	0.00179862037597522	0.00244861267278266	0.00673950192959561	0	0	0.904127493352841	0
Control	0.776428166838048	0	0.0341904460265384	0.0436852599991258	0.0363174634386684	0	0.0404485609082313	0.068930102789388	0
Control	0.335247619142259	0.0597569453115869	0.0544458408301994	0.0651433774020365	0.0513785399570795	0	0.0630877984492679	0.370939878907571	0
Control	0.283054090646882	0.0629778424239515	0.0442325488227768	0.054198619515409	0.037639166941891	0	0.0262928143077045	0.491604917341385	0
Control	0.719264767133202	0	0.046594986339358	0.0548210679593608	0.0423074375916851	0	0.0533598051027404	0.0674327260236894	0.0162192098499646
Control	0.279147849323681	0.0573936877131326	0.0397137400777299	0.0559389734553237	0.0369767377492621	0	0.0535465498472435	0.477282461833627	0
BRCA2	0.200362711189827	0.0990221467815096	0.0534658497457566	0.0659933407332762	0.0513662916915557	0	0.0389630730964521	0.490826586761623	0
BRCA2	0.778159225901611	0.00146794992973181	0.0358566061997921	0.0471034284311803	0.0431994640552848	0	0.0393362477117031	0.0467272842095487	0.00814979356114824
BRCA2	0.600102113623906	0.0224746186368873	0.055006470803956	0.077264105429567	0.0575763913941215	0	0.0669535733345016	0.112745471212604	0.00787725556445708
Control	0.125487401996755	0.0528673436997111	0.0226197343634054	0.0346561678879581	0.0284500158290458	0	0.0120935841467484	0.723825752076376	0
Control	0.0325555121069777	0.00595138775339308	0	0	0.00305956150131416	0	0	0.958433538638315	0
Control	0.808167956624017	0	0.0314284889682795	0.0487232368785717	0.0487142388865944	0	0.035689971642451	0.017849480120038	0.00942662688004881
