type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
BRCA1	0.0961962451233373	0.0114168594446142	0.00259427269137353	0.0128256430836184	0.0157014297605377	0	0.0369683832152233	0.824297166681295	0
Control	0.49670596609754	0.0137004559360634	0.0400857134438467	0.076727565264288	0.0646563194382807	0	0.109055470996722	0.199068508823258	0
BRCA1	0.831378089791264	0	0.0237294766180813	0.0312956121915566	0.0180877659493792	0	0.0583283245386402	0.0197108046680709	0.017469926243008
BRCA1	0.464743786675966	0.0190927056908632	0.0460627489020994	0.0659669610663201	0.0400462935280433	0	0.131136580258502	0.225670336316658	0.00728058756154746
Control	0.719611152270499	0	0.0259671588073631	0.0515769583568838	0.0413334566919152	0	0.0848665247369634	0.0759822534075425	0.000662495728833295
BRCA1	0.776493453808922	0	0.0265588940479204	0.0428776618939608	0.0273700458217603	0	0.0670856974471471	0.0596142469802894	0
Control	0.720507467479853	0	0.0314841419607871	0.0587909955907274	0.0430379422851763	0	0.0852754396859574	0.0521940747684684	0.00870993822903019
BRCA1	0.592312226164078	0.0260043968894645	0.0481397715979257	0.0660065636248318	0.0486139262141088	0	0.0807018645484976	0.13495141298929	0.00326983797180392
Control	0.661367501818199	0	0.0300971016902307	0.0622409428300483	0.0432373622662036	0	0.0738792467854116	0.129177844609906	0
Control	0.710736873141777	0	0.0338695996279614	0.0550734539780549	0.0418530727491113	0	0.0728500959889649	0.0756016773164323	0.0100152271976984
Control	0.786133916964565	0	0.0291250495484405	0.0401561988145001	0.0240633238085493	0	0.0684036051870355	0.0445356367956066	0.0075822688813029
BRCA1	0.385916545190999	0.0411444429924155	0.040742767910373	0.0822940428591959	0.0581770146109183	0	0.0978949121614729	0.293830274274625	0
Control	0.260214217424409	0.0253575635316298	0.0293801284610877	0.0611647947538133	0.0419417527774631	0	0.0539365230593434	0.528005019992253	0
Control	0.606115892486962	0	0.0424608523324504	0.0689279658233711	0.0515771009942263	0	0.0795539733675654	0.147774571792286	0.00358964320313931
BRCA1	0.897153078438408	0	0.0160237929545829	0.0212179003910967	0.0159034774269335	0	0.0311029582118004	0.0101280615923904	0.00847073098478761
Control	0.245144995538005	0.0434528473450924	0.0253734683336713	0.0402289681468535	0.0235260300300597	0	0.0767744452163758	0.545499245389943	0
Control	0.64781941493319	0	0.034243858140072	0.0726118548783191	0.053808290055381	0	0.0767412559088275	0.0998373292191306	0.0149379968650794
Control	0.746174678759538	0	0.0118066003119667	0.0526675965505004	0.03924323199871	0	0.094589992022041	0.0445374889133865	0.0109804114438575
BRCA1	0.519952502721322	0.0270712497632841	0.0331972836661201	0.0600185282895189	0.0405240571642531	0	0.109089260829567	0.210147117565934	0
Control	0.576735734811613	0.01452314940733	0.0387494187113839	0.0662031778943825	0.0509039128896377	0	0.0835858248724841	0.169298781413169	0
BRCA1	0.575935169982025	0.00729163628037528	0.0422781526208817	0.0625471396463345	0.0376690111496299	0	0.0788973558514023	0.195381534469351	0
Control	0.806638568087113	0	0.0231538994259344	0.0379783825849395	0.0298600157324679	0	0.0572121166017826	0.0338973406935147	0.0112596768742477
BRCA1	0.933335547646621	0	0.0112265999926249	0.0145493025924286	0.0101005301561423	0	0.0195843759612745	0.00787610363607958	0.0033275400148295
Control	0.398198348701897	0.0216847193665917	0.0344500527946293	0.0544958126140553	0.0414748437131742	0	0.110985651598813	0.33871057121084	0
