type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.49670596609754	0.0137004559360634	0.0400857134438467	0.076727565264288	0.0646563194382807	0	0.109055470996722	0.199068508823258	0
Control	0.719611152270499	0	0.0259671588073631	0.0515769583568838	0.0413334566919152	0	0.0848665247369634	0.0759822534075425	0.000662495728833295
Control	0.720507467479853	0	0.0314841419607871	0.0587909955907274	0.0430379422851763	0	0.0852754396859574	0.0521940747684684	0.00870993822903019
Control	0.661367501818199	0	0.0300971016902307	0.0622409428300483	0.0432373622662036	0	0.0738792467854116	0.129177844609906	0
Control	0.710736873141777	0	0.0338695996279614	0.0550734539780549	0.0418530727491113	0	0.0728500959889649	0.0756016773164323	0.0100152271976984
BRCA2	0.820951373287776	0	0.0168723949425579	0.0413940925172885	0.0333723026755481	0	0.0596621783168826	0.0209324934990819	0.00681516476086544
Control	0.786133916964565	0	0.0291250495484405	0.0401561988145001	0.0240633238085493	0	0.0684036051870355	0.0445356367956066	0.0075822688813029
Control	0.260214217424409	0.0253575635316298	0.0293801284610877	0.0611647947538133	0.0419417527774631	0	0.0539365230593434	0.528005019992253	0
Control	0.606115892486962	0	0.0424608523324504	0.0689279658233711	0.0515771009942263	0	0.0795539733675654	0.147774571792286	0.00358964320313931
Control	0.245144995538005	0.0434528473450924	0.0253734683336713	0.0402289681468535	0.0235260300300597	0	0.0767744452163758	0.545499245389943	0
BRCA2	0.968335275115679	0	0.00490999349949557	0.00725627283556214	0.00478977719461455	0	0.0104024567001765	0.00306415751110378	0.00124206714336802
Control	0.64781941493319	0	0.034243858140072	0.0726118548783191	0.053808290055381	0	0.0767412559088275	0.0998373292191306	0.0149379968650794
Control	0.746174678759538	0	0.0118066003119667	0.0526675965505004	0.03924323199871	0	0.094589992022041	0.0445374889133865	0.0109804114438575
BRCA2	0.806062880263133	0	0.0279785900684722	0.0388470164425829	0.0260589407657635	0	0.051600911637848	0.0403761287718535	0.00907553205034647
Control	0.576735734811613	0.01452314940733	0.0387494187113839	0.0662031778943825	0.0509039128896377	0	0.0835858248724841	0.169298781413169	0
BRCA2	0.746394102842866	0.01764388522267	0.0267239429368795	0.0515156397156614	0.0381077043207379	0	0.0640888545335819	0.0555258704276035	0
Control	0.806638568087113	0	0.0231538994259344	0.0379783825849395	0.0298600157324679	0	0.0572121166017826	0.0338973406935147	0.0112596768742477
BRCA2	0.620059226436923	0.0154035024839823	0.0501536278548314	0.0640195902478733	0.0618629955834056	0	0.0967871878882701	0.0917138695047144	0
Control	0.398198348701897	0.0216847193665917	0.0344500527946293	0.0544958126140553	0.0414748437131742	0	0.110985651598813	0.33871057121084	0
BRCA2	0.61017457739125	0	0.0407974071585307	0.0680201083263625	0.0412269722700239	0	0.0800002964051167	0.145290815915814	0.0144898225329016
Control	0.853184083775484	0	0.0197973029428408	0.0307138186954423	0.0199942442379489	0	0.0498419276974166	0.0183487149698432	0.0081199076810243
Control	0.53382350989056	0	0.029944231947272	0.0623506290694152	0.0404991604285912	0	0.090252400286028	0.243130068378134	0
BRCA2	0.350602122192737	0.0309657198734648	0.0329213370818128	0.0697334094570311	0.0482307067235073	0	0.111146593878663	0.356400110792784	0
Control	0.342820968690905	0.0210307590565211	0.0281599514413264	0.05743138182049	0.0379876384938317	0	0.0935283300999188	0.419040970397008	0
Control	0.849166888952098	0	0.0219461826347988	0.0320225574063253	0.0199910492405819	0	0.0515691294460673	0.0192518990007816	0.00605229331934707
Control	0.248321749998777	0.0235399758243102	0.0188721779366386	0.0450474507389795	0.0350400252808921	0	0.0700658966226564	0.559112723597746	0
Control	0.50148941825232	0.000696040252503413	0.040242623686923	0.0716331910555495	0.050759153655898	0	0.0797420652959799	0.255437507800827	0
BRCA2	0.820059025685698	0	0.0265574902492795	0.0328361367150974	0.0206313032949653	0	0.0558949250901334	0.037906173310604	0.00611494565422228
Control	0.979953366402173	0	0.00235168812351545	0.00525851567356258	0.00378475611068076	0	0.00744209154612477	0.00120958214394315	0
BRCA2	0.990339123577661	0	0.00126191819116876	0.00248984332374529	0.00171555305226411	0	0.00382004730686401	0	0.000373514548296639
Control	0.389982616004959	0.022990821837819	0.0330791070826249	0.0598011503990567	0.0329569694631181	0	0.121074594703133	0.34011474050929	0
BRCA2	0.274261299399691	0.0289238651649848	0.0355645757594437	0.0645921431090139	0.0388435398192304	0	0.0985937362611492	0.459220840486487	0
BRCA2	0.976488219073632	0	0.00434730431693362	0.00491060836502318	0.0037499635579957	0	0.00735572337479596	0.00158935003324931	0.0015588312783702
Control	0.698198396545165	0	0.0356195534468219	0.0640394525469306	0.0459333602874665	0	0.0723004646132727	0.0839087725603431	0
Control	0.771342819112933	0	0.0343602268952273	0.046231946635366	0.0319986289344484	0	0.0593524698132104	0.0501023034119734	0.00661160519684118
Control	0.870799865823855	0	0.013526490166422	0.0316643629442525	0.023005034149853	0	0.042889666375992	0.0150105736731951	0.0031040068664307
Control	0.575670029116832	0	0.0347160892256203	0.0587893240781186	0.0390276299425787	0	0.0679567870983934	0.223840140538457	0
Control	0.656198924239027	0	0.0402893868308443	0.0581405783202165	0.0392086962788127	0	0.0716697218487837	0.133504393405224	0.000988299077092183
BRCA2	0.547615030905551	0	0.0394110999593959	0.0557186687910661	0.0346730384864109	0	0.0779585656265019	0.244623596231074	0
Control	0.33729322677339	0.0363097327000286	0.0437993014976727	0.0581766420491966	0.037639452637467	0	0.0685745034969247	0.41820714084532	0
Control	0.914925160604099	0	0.0124169272525571	0.0210504585623507	0.0150581290406592	0	0.0239755170123121	0.00855620536034536	0.00401760216767625
BRCA2	0.898719502048194	0	0.0160537111808529	0.0199572785256013	0.0118402223436756	0	0.0313855536439778	0.0160731685404323	0.00597056371726589
Control	0.753129446548081	0	0.0296328048976135	0.0479518001754857	0.0320522023472446	0	0.0687670102725605	0.0549889391419888	0.0134777966170257
BRCA2	0.206939885324108	0.0307206111674929	0.0045139987038469	0.0224019953900422	0.0216761737069345	0	0.0363430321608291	0.677404303546746	0
Control	0.922429503659877	0	0.0103792553942203	0.0196399920386875	0.0127051814212634	0	0.0268057339888864	0.00392254445590886	0.00411778904115639
Control	0.517783353912403	0.00409128686713735	0.046155091726219	0.0836224726941174	0.0514851266907275	0	0.0993076399533038	0.189508883165678	0.00804614499041339
BRCA2	0.739656623430756	0	0.0357507611680821	0.0464496625177193	0.0279313158490031	0	0.071949846679915	0.0616946247133052	0.0165671656412188
Control	1	0	0	0	0	0	0	0	0
BRCA2	1	0	0	0	0	0	0	0	0
Control	0.706249560516784	0	0.0314120144900587	0.0515283161238793	0.0359788269872885	0	0.0793150695024682	0.0787946312219283	0.0167215811575933
Control	0.730667570610435	0	0.0330045152465217	0.0551496083915428	0.0355570968987956	0	0.0761261946249427	0.0526340232941312	0.0168609909336312
Control	0.270160504479565	0.0232092347507725	0.0318266409433592	0.0515926658784292	0.0284515428772097	0	0.080099784544356	0.514659626526309	0
Control	0.574780699347712	0	0.0344037692238341	0.055268575527776	0.0385163834130253	0	0.096226601594618	0.200803970893034	0
Control	0.85740790817505	0	0.0201425538561041	0.028829717557822	0.0169010545663488	0	0.0519084697256493	0.0223583302378181	0.00245196588120812
Control	0.637966151642426	0	0.0363323661463439	0.0700145677263278	0.0477560745395063	0	0.082003219400875	0.120115036468969	0.00581258407555224
BRCA2	0.897804842190074	0	0.0108892095241294	0.0266010145264173	0.0205348046590259	0	0.0287563567482577	0.00449123957377287	0.010922532778323
