type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Breast cancer	0.889431244071001	0	0.0154356465051964	0.0164254936642805	0.00911478114209663	0	0.0331750751923632	0.0364177594250626	0
Control	0.946094347747264	0	0.00810872655887209	0.0113747955390775	0.00825929519521673	0	0.017426020492743	0.00811231918638993	0.000624495280437152
Control	0.976162454106239	0	0.00428842411603232	0.00510040293590746	0.00424572213370061	0	0.00521527982394377	0.00452789920208511	0.000459817682092167
Control	0.719954829115856	0	0.0343251751814811	0.0443156577911831	0.0312138163973648	0	0.0527507173215671	0.105466011711946	0.0119737924806017
Breast cancer	0.967872222830854	0	0.00536004256788754	0.00680244967061848	0.00397465217319733	0	0.0099177166582447	0.00409791901435384	0.00197499708484446
Control	0.684227993158404	0	0.0344338863055377	0.0457883597690923	0.027065118470396	0	0.0444668115001879	0.158179063468119	0.00583876732826316
Breast cancer	0.728158921039164	0	0.0319182822402662	0.0406651397092501	0.0237361909313915	0	0.048110353149856	0.121585234213995	0.00582587871607681
Breast cancer	0.644975411800283	0	0.0393891513245225	0.0498245483824783	0.0334395462394612	0	0.0659971269955898	0.162135394556732	0.00423882070093356
Control	0.858560291642918	0	0.0216140100784573	0.0259540147772503	0.0188112170140554	0	0.032970830412065	0.0349719962619511	0.0071176398133033
Control	0.943380100157007	0	0.00965292856029611	0.0127267867131649	0.00798310569761744	0	0.0131350264508084	0.0106167554522248	0.00250529696888119
Control	0.910738459356944	0	0.0150051357870091	0.0137710371048941	0.00779801446590594	0.000928380527445286	0.0281217666991039	0.0204642800692793	0.00317292598941803
Control	0.933188968817032	0	0.0105479470327254	0.0144295254128028	0.00945648645878298	0	0.0143551978589548	0.0150953575251756	0.00292651689452602
Control	0.777901666511539	0	0.0287173312738134	0.0341459457353287	0.0228278877491923	0	0.0324365794101147	0.102924490164666	0.00104609915534587
Control	0.650025602392575	0	0.035512284683647	0.0471817075079396	0.0332018187536547	0	0.0583838244283127	0.173833919404941	0.00186084282893011
Control	0.455514531145435	0	0.0315110003041932	0.0365304513493796	0.0271734650174711	0	0.0546341713678356	0.394636380815686	0
Breast cancer	0.512286053246122	0.0164877225992724	0.0403863662042114	0.051425014855768	0.0347347060506511	0	0.0481851217197894	0.296495015324186	0
Breast cancer	0.925348655306363	0	0.012627236443947	0.0143011081595247	0.00982396355755779	0	0.0176839709053537	0.0178576878175321	0.00235737780972144
Control	0.656524865086629	0	0.0383753987280216	0.0480308552667694	0.029503984035085	0	0.0499875249272449	0.174626764270069	0.00295060768618104
Control	0.691951164078789	0	0.0409563923383747	0.0447894324633651	0.0246823734670645	0	0.05173937916391	0.139483063694317	0.00639819479417928
