Proportion	Subtype	type
0.25027837448334	Epi	Adjacent
0.13817549924873	Fib	Adjacent
0.565408821354422	Fat	Adjacent
0.0461373049135077	IC	Adjacent
0.321366010999366	Epi	BRCAmut
0.0908366363482115	Fib	BRCAmut
0.530545772704011	Fat	BRCAmut
0.0572515799484109	IC	BRCAmut
0.259931244655384	Epi	BRCAmut
0.123215134006346	Fib	BRCAmut
0.577673589608284	Fat	BRCAmut
0.039180031729986	IC	BRCAmut
0.154437627985615	Epi	Normal
0.142347154783907	Fib	Normal
0.656935947640941	Fat	Normal
0.0462792695895367	IC	Normal
0.149112065915507	Epi	Normal
0.1729197563377	Fib	Normal
0.67620404901689	Fat	Normal
0.0017641287299027	IC	Normal
0.146164186693157	Epi	Adjacent
0.163958736331291	Fib	Adjacent
0.65121022726905	Fat	Adjacent
0.0386668497065022	IC	Adjacent
0.231248374844103	Epi	Adjacent
0.18137924382089	Fib	Adjacent
0.55817486800448	Fat	Adjacent
0.0291975133305265	IC	Adjacent
0.178574275460571	Epi	BRCAmut
0.155122602507765	Fib	BRCAmut
0.666303122031664	Fat	BRCAmut
0	IC	BRCAmut
0.358385271646651	Epi	BRCAmut
0.0959036708242101	Fib	BRCAmut
0.510221331223024	Fat	BRCAmut
0.0354897263061146	IC	BRCAmut
0.214686782918817	Epi	Normal
0.133066167106469	Fib	Normal
0.615092564323146	Fat	Normal
0.037154485651568	IC	Normal
0.26313690062482	Epi	Normal
0.0938017928237658	Fib	Normal
0.539206973613689	Fat	Normal
0.103854332937726	IC	Normal
0.15756940626182	Epi	Adjacent
0.132912657596732	Fib	Adjacent
0.432982051391431	Fat	Adjacent
0.276535884750016	IC	Adjacent
0.139146515017744	Epi	Adjacent
0.117568217868179	Fib	Adjacent
0.743285267114078	Fat	Adjacent
0	IC	Adjacent
0.025884198429275	Epi	BRCAmut
0.06371723503979	Fib	BRCAmut
0.910398566530935	Fat	BRCAmut
0	IC	BRCAmut
0.196726884484622	Epi	BRCAmut
0.108038580255958	Fib	BRCAmut
0.69161889722839	Fat	BRCAmut
0.00361563803103075	IC	BRCAmut
0.314338097239852	Epi	Normal
0.119900807098932	Fib	Normal
0.517373873848039	Fat	Normal
0.0483872218131761	IC	Normal
0.033044925362005	Epi	Normal
0.0424246660142018	Fib	Normal
0.924530408623793	Fat	Normal
0	IC	Normal
0.200732177747086	Epi	Adjacent
0.132912547420649	Fib	Adjacent
0.666355274832265	Fat	Adjacent
0	IC	Adjacent
0.328418431914198	Epi	Adjacent
0.123372027103883	Fib	Adjacent
0.515434703496316	Fat	Adjacent
0.0327748374856034	IC	Adjacent
0.392834010979001	Epi	BRCAmut
0.0629184653749959	Fib	BRCAmut
0.515159144478959	Fat	BRCAmut
0.0290883791670448	IC	BRCAmut
0.312305553796615	Epi	BRCAmut
0.0982742525576763	Fib	BRCAmut
0.570688515170257	Fat	BRCAmut
0.0187316784754524	IC	BRCAmut
0.110802392265054	Epi	Normal
0.147288479643896	Fib	Normal
0.741909128091051	Fat	Normal
0	IC	Normal
0.266163900145737	Epi	Normal
0.130870168736684	Fib	Normal
0.553038647897151	Fat	Normal
0.0499272832204284	IC	Normal
0.162678011197669	Epi	Adjacent
0.129230204894158	Fib	Adjacent
0.619189517846882	Fat	Adjacent
0.0889022660612897	IC	Adjacent
0.231419286738248	Epi	Adjacent
0.14003990092351	Fib	Adjacent
0.616884258192036	Fat	Adjacent
0.0116565541462064	IC	Adjacent
0.346066317684246	Epi	BRCAmut
0.102011067192865	Fib	BRCAmut
0.502573411749816	Fat	BRCAmut
0.0493492033730727	IC	BRCAmut
0.256531817947944	Epi	BRCAmut
0.0832410354379721	Fib	BRCAmut
0.613211691786984	Fat	BRCAmut
0.0470154548270994	IC	BRCAmut
0.306311411816676	Epi	Normal
0.0607254327875221	Fib	Normal
0.622197189867513	Fat	Normal
0.0107659655282881	IC	Normal
0.0588257447075467	Epi	Normal
0.136435441365848	Fib	Normal
0.804738813926605	Fat	Normal
0	IC	Normal
0.250881945349322	Epi	Adjacent
0.147375213546321	Fib	Adjacent
0.601208222290829	Fat	Adjacent
0.000534618813528236	IC	Adjacent
0.366254947768517	Epi	Adjacent
0.103381267538015	Fib	Adjacent
0.462451785508296	Fat	Adjacent
0.067911999185171	IC	Adjacent
0.0567604871062951	Epi	Normal
0.201675472081162	Fib	Normal
0.737467355496251	Fat	Normal
0.00409668531629246	IC	Normal
0.135040982731231	Epi	Normal
0.122044183882567	Fib	Normal
0.715226316704886	Fat	Normal
0.0276885166813157	IC	Normal
0.293346863108752	Epi	BRCAmut
0.0848576085603158	Fib	BRCAmut
0.589878040709673	Fat	BRCAmut
0.0319174876212597	IC	BRCAmut
0.281935952228863	Epi	BRCAmut
0.0838284493870852	Fib	BRCAmut
0.621379666860461	Fat	BRCAmut
0.0128559315235906	IC	BRCAmut
0.0970660253920658	Epi	Adjacent
0.0448102794211319	Fib	Adjacent
0.709771525155929	Fat	Adjacent
0.148352170030873	IC	Adjacent
0.161862746343	Epi	Normal
0.142802381630697	Fib	Normal
0.655088865856604	Fat	Normal
0.0402460061696987	IC	Normal
0.203836541384501	Epi	Normal
0.0903197678374127	Fib	Normal
0.670021248730434	Fat	Normal
0.0358224420476524	IC	Normal
0.0391965662953061	Epi	BRCAmut
0.167062831148181	Fib	BRCAmut
0.793740602556513	Fat	BRCAmut
0	IC	BRCAmut
0.190719075419324	Epi	BRCAmut
0.123294541579984	Fib	BRCAmut
0.685986383000692	Fat	BRCAmut
0	IC	BRCAmut
0.377294867071158	Epi	Adjacent
0.136572811809757	Fib	Adjacent
0.422860579296394	Fat	Adjacent
0.063271741822691	IC	Adjacent
0.208688392487392	Epi	Adjacent
0.123898795855859	Fib	Adjacent
0.590422156327496	Fat	Adjacent
0.0769906553292531	IC	Adjacent
