WID-BC-index (immune)	immune cell proportion	type
-1.56736866089835	0.574135940658153	Breast cancer
-1.29716708485593	0.461806675120373	Breast cancer
-1.2050394818286	0	Breast cancer
-1.75131428344778	0.70454886991033	Breast cancer
-1.83584417921343	0.74756121312272	Breast cancer
-1.88973846229275	0.766975914599968	Breast cancer
-1.4820544370184	0.446930686298846	Breast cancer
-1.7568670503568	0.826747237143626	Breast cancer
-1.4351988333255	0.178529914709047	Breast cancer
-1.60281918396475	0.613784919467541	Breast cancer
-1.67195614760499	0.624193482594805	Breast cancer
-1.62966353392029	0.685462290739003	Breast cancer
-1.32061738648489	0.0396884341555018	Breast cancer
-1.70304531686163	0.453414024099549	Breast cancer
-1.57101870083972	0.955669164331919	Breast cancer
-1.13694809304813	0	Breast cancer
-1.79234659579095	0.702907736916086	Breast cancer
-1.80533879978051	0.558437894958648	Breast cancer
-2.12762975739993	0.891810564482154	Breast cancer
-1.60047570175486	0.461154906678642	Breast cancer
-1.64594858418672	0.847511276910324	Breast cancer
-1.81953893291878	0.746440326282182	Breast cancer
-1.94040832834283	0.937450403570339	Breast cancer
-1.85100657039938	0.698511954950585	Breast cancer
-1.40106334897339	0.293129556303661	Breast cancer
-1.26388771677872	0.0266072703505609	Breast cancer
-1.69005119050192	0.482969979000295	Breast cancer
-1.33052178340662	0.00684970389675897	Breast cancer
-1.68153611902945	0.862544876652664	Breast cancer
-1.6827709970881	0.825546307819955	Breast cancer
-1.33677325092658	0	Breast cancer
-1.20896717627182	0.0492480411660255	Breast cancer
-1.8456982597701	0.718021638208515	Breast cancer
-1.76246037091542	0.876002949768744	Breast cancer
-1.4685961719548	0.226811651116732	Breast cancer
-1.53941822434136	0.708188838470458	Breast cancer
-1.43129740816266	0.291189964649183	Breast cancer
-1.34555210661237	0.539857849643434	Breast cancer
-1.37628349094695	0.0273181608394016	Breast cancer
-1.41143835490792	0.410284865976073	Breast cancer
-1.36806362290485	0.272696304517567	Breast cancer
-1.58482390773538	0.878510666573846	Breast cancer
-1.31553054071998	0	Breast cancer
-1.21279233471275	0.090398224781176	Breast cancer
-2.04042902209482	0.833094363557866	Breast cancer
-1.17583715792283	0.0174495433225904	Breast cancer
-1.22240651731072	0	Breast cancer
-1.82097985734232	0.620997988036387	Breast cancer
-1.48082611731782	0.901636854214759	Breast cancer
-1.69347869764111	0.90766822653045	Breast cancer
-1.62143507484711	0.174152595833374	Breast cancer
-1.55736509517892	0.546018259745485	Breast cancer
-1.52240091626081	0.265205852014645	Breast cancer
-1.86834824068494	0.865774667167746	Breast cancer
-1.67731495456417	0.860221898024907	Breast cancer
-1.52663419976862	0.77959629844792	Breast cancer
-1.80936134572445	0.757574950705055	Breast cancer
-1.94228311881466	0.929111363827736	Breast cancer
-1.6003253270654	0.6269675859948	Breast cancer
-1.72733377717865	0.507780607011316	Breast cancer
-1.26350686503901	0.0873463503827905	Breast cancer
-1.2929628062418	0.251511178873042	Breast cancer
-1.90298340300325	0.884959915028351	Breast cancer
-1.72304863332182	0.759138419952311	Breast cancer
-1.2425963734993	0	Breast cancer
-1.83633008488388	0.841463381481329	Breast cancer
-1.87105149044048	0.895167983186833	Breast cancer
-1.69490085310882	0.913051692310297	Breast cancer
-1.39499475980593	0.196248818067083	Breast cancer
-1.93972225250571	0.900817952024864	Breast cancer
-1.32137455442234	0.0822142172838677	Breast cancer
-1.72120216277891	0.70249111087051	Breast cancer
-1.7290578915	0.761572889505769	Breast cancer
-1.41139205334164	0.191714317363668	Breast cancer
-1.58926797765303	0.788868201727115	Breast cancer
-1.51392154963108	0.633673865220455	Breast cancer
-1.36411803018566	0.370153804989276	Breast cancer
-1.62005279453787	0.198513210593378	Breast cancer
-1.65329328062061	0.716708973533114	Breast cancer
-1.27854451394562	0	Breast cancer
-1.4434577175292	0.13050133972834	Breast cancer
-1.6874926705864	0.709140130187676	Breast cancer
-1.47178685717341	0.510468471046134	Breast cancer
-1.70152512571756	0.758457849046445	Breast cancer
-1.75296471894452	0.801528630980863	Breast cancer
-1.73444861286294	0.621696936688073	Breast cancer
-1.3372094723841	0.508644769077443	Breast cancer
-2.15524718910064	0.859397804315848	Breast cancer
-1.37831303750752	0.331073162121511	Breast cancer
-1.89456506919018	0.905008085176617	Breast cancer
-1.7148727029025	0.877321047551981	Breast cancer
-1.51021070822976	0.0917503934743297	Breast cancer
-1.67188408040386	0.965830612781344	Breast cancer
-1.38615737216934	0.176731890744715	Breast cancer
