WID-BC-index (shared)	immune cell proportion	type
-1.44037012515761	0.574135940658153	Breast cancer
-1.19126175709896	0.461806675120373	Breast cancer
-0.734447236341688	0	Breast cancer
-1.31088221269548	0.70454886991033	Breast cancer
-1.1825268450793	0.74756121312272	Breast cancer
-1.30134296117208	0.766975914599968	Breast cancer
-1.21957606063373	0.446930686298846	Breast cancer
-1.53650403524244	0.826747237143626	Breast cancer
-0.712533778299949	0.178529914709047	Breast cancer
-1.24989332709735	0.613784919467541	Breast cancer
-1.36075647395019	0.624193482594805	Breast cancer
-1.33005331997696	0.685462290739003	Breast cancer
-1.37401849096666	0.0396884341555018	Breast cancer
-1.41063225751061	0.453414024099549	Breast cancer
-1.74794254390023	0.955669164331919	Breast cancer
-0.827931532390003	0	Breast cancer
-1.96019274080121	0.702907736916086	Breast cancer
-1.41356566046656	0.558437894958648	Breast cancer
-1.6805828224277	0.891810564482154	Breast cancer
-1.55596806889336	0.461154906678642	Breast cancer
-1.53238974787798	0.847511276910324	Breast cancer
-1.75989278053581	0.746440326282182	Breast cancer
-1.62856312709903	0.937450403570339	Breast cancer
-1.56536857554767	0.698511954950585	Breast cancer
-1.2571022023892	0.293129556303661	Breast cancer
-0.952793469873747	0.0266072703505609	Breast cancer
-1.60920285318713	0.482969979000295	Breast cancer
-1.20833279051516	0.00684970389675897	Breast cancer
-1.13486959280343	0.862544876652664	Breast cancer
-1.66139315262489	0.825546307819955	Breast cancer
-1.14870195524489	0	Breast cancer
-1.12145318951469	0.0492480411660255	Breast cancer
-1.75346980067617	0.718021638208515	Breast cancer
-1.60851649597937	0.876002949768744	Breast cancer
-1.35163844206815	0.226811651116732	Breast cancer
-1.55925279299976	0.708188838470458	Breast cancer
-1.09774697942573	0.291189964649183	Breast cancer
-1.29666858680063	0.539857849643434	Breast cancer
-0.684144945293372	0.0273181608394016	Breast cancer
-0.992430280271112	0.410284865976073	Breast cancer
-0.748595955805179	0.272696304517567	Breast cancer
-1.07747167216497	0.878510666573846	Breast cancer
-1.11931961883088	0	Breast cancer
-0.809288192128393	0.090398224781176	Breast cancer
-1.72166960914464	0.833094363557866	Breast cancer
-0.960176705030136	0.0174495433225904	Breast cancer
-0.777287463946523	0	Breast cancer
-1.537894697711	0.620997988036387	Breast cancer
-1.41425049300061	0.901636854214759	Breast cancer
-1.42934158196054	0.90766822653045	Breast cancer
-1.02885023917948	0.174152595833374	Breast cancer
-1.18614086919609	0.546018259745485	Breast cancer
-1.12053785109796	0.265205852014645	Breast cancer
-1.52697813433706	0.865774667167746	Breast cancer
-1.4573660930864	0.860221898024907	Breast cancer
-1.59726059209069	0.77959629844792	Breast cancer
-1.77928942525527	0.757574950705055	Breast cancer
-1.66714664334787	0.929111363827736	Breast cancer
-1.32320076465955	0.6269675859948	Breast cancer
-1.40718748645539	0.507780607011316	Breast cancer
-1.27261000428845	0.0873463503827905	Breast cancer
-1.40531399324571	0.251511178873042	Breast cancer
-1.25017471653755	0.884959915028351	Breast cancer
-1.33463379662953	0.759138419952311	Breast cancer
-1.21849321061894	0	Breast cancer
