WID-BC-index (epithelial omitted)	WID-BC-index (immune omitted)	WID-BC-index (shared omitted)	type
-3.00773878605596	-1.15241668155712	-1.27941521729787	Breast
-2.48842884195489	-0.871836614082132	-0.977741941839104	Breast
-1.93948671817029	-0.915324483803639	-1.38591672929055	Breast
-3.06219649614326	-0.656943506147461	-1.09737557689976	Breast
-3.01837102429272	-0.235027909807622	-0.888345243941748	Breast
-3.19108142346483	-0.4743803499248	-1.06277585104547	Breast
-2.70163049765213	-0.854152257045044	-1.11663063342972	Breast
-3.29337108559924	-0.963428006487233	-1.1837910216016	Breast
-2.14773261162545	0.453320108509151	-0.269344946516402	Breast
-2.8527125110621	-0.372344577202571	-0.725270434069968	Breast
-3.03271262155518	-1.06025506131141	-1.37145473496622	Breast
-2.95971685389725	-0.776708577012225	-1.07631879095556	Breast
-2.69463587745156	-2.45442130147979	-2.40102019699802	Breast
-3.11367757437223	-1.53907568883015	-1.83148874818118	Breast
-3.31896124473995	-1.18122559870497	-1.00430175564447	Breast
-1.96487962543813	-0.502806119351406	-0.81182268000953	Breast
-3.75253933659216	-1.19519992652525	-1.02735378151498	Breast
-3.21890446024707	-1.00889710573703	-1.40067024505098	Breast
-3.80821257982763	-1.11665115023058	-1.56369808520281	Breast
-3.15644377064822	-1.26908925574446	-1.31359688860596	Breast
-3.1783383320647	-0.973441249710826	-1.08700008601957	Breast
-3.57943171345459	-1.3899876475716	-1.44963379995457	Breast
-3.56897145544186	-1.01539223524795	-1.32723743649175	Breast
-3.41637514594706	-1.14305572094538	-1.42869371579709	Breast
-2.65816555136259	-1.01272183191685	-1.15668297850104	Breast
-2.21668118665246	-0.918803726412335	-1.2298979733173	Breast
-3.29925404368905	-1.26501145325847	-1.34585979057326	Breast
-2.53885457392178	-0.877858052600997	-1.00004704549246	Breast
-2.81640571183288	-0.435651796566753	-0.982318322792771	Breast
-3.34416414971299	-0.883893683280272	-0.90527152774348	Breast
-2.48547520617147	-0.662357791059289	-0.850429086740979	Breast
-2.33042036578651	-2.3092268971858	-2.39674088394292	Breast
-3.59916806044627	-0.863308329691231	-0.95553678878516	Breast
-3.37097686689478	-1.19334859798718	-1.34729247292322	Breast
-2.82023461402295	-0.836150968100774	-0.953108697987429	Breast
-3.09867101734112	-1.21227340697805	-1.19243883831965	Breast
-2.52904438758839	-1.05416090698137	-1.3877113357183	Breast
-2.64222069341299	-0.654540571410493	-0.703424091222231	Breast
-2.06042843624032	0.181956441893672	-0.510182103759908	Breast
-2.40386863517903	-0.614670524478339	-1.03367859911515	Breast
-2.11665957871003	-0.397627857084542	-1.01709552418421	Breast
-2.66229557990035	-0.426773812686731	-0.934126048257141	Breast
-2.43485015955086	-1.38690790543315	-1.58311882732225	Breast
-2.02208052684114	-0.250598261415068	-0.654102403999425	Breast
-3.76209863123946	-1.40426628246069	-1.72302569541087	Breast
-2.13601386295296	-1.31227071337062	-1.52793116626331	Breast
-1.99969398125724	-1.44845215015166	-1.89357120351586	Breast
-3.35887455505331	-1.23328910900001	-1.51637426863133	Breast
-2.89507661031843	-0.807039892595372	-0.873615516912586	Breast
-3.12282027960165	-0.78172937286919	-1.04586648854976	Breast
-2.65028531402659	-0.382996846296155	-0.975581681963789	Breast
-2.74350596437501	-0.797351036002419	-1.16857526198524	Breast
-2.64293876735877	-0.581687901697808	-0.983550966860662	Breast
-3.39532637502199	-0.953780163230657	-1.29515026957854	Breast
-3.13468104765057	-0.799539824205096	-1.01948868568287	Breast
-3.1238947918593	-0.725311806856419	-0.654685414534351	Breast
-3.58865077097972	-1.22357480682474	-1.25364672729391	Breast
-3.60942976216254	-1.08892156419208	-1.36405803965886	Breast
-2.92352609172495	-1.03842472128055	-1.3155492836864	Breast
-3.13452126363404	-1.13636177499807	-1.45650806572132	Breast
-2.53611686932745	-1.2698899554103	-1.26078681616086	Breast
-2.69827679948751	-1.38718434944475	-1.27483316244083	Breast
-3.1531581195408	-0.567258476689585	-1.22006716315528	Breast
-3.05768242995134	-0.894264463621933	-1.28267930031422	Breast
-2.46108958411824	-1.43969790287081	-1.46380106575117	Breast
-3.29022749163938	-0.899784556471236	-1.28221723459961	Breast
-3.52208841122864	-1.06949829320402	-1.28951286285634	Breast
-2.43164786721666	-0.133793116774317	-1.09194695577529	Breast
-2.61108057143112	-0.631324865524697	-0.810233813705432	Breast
-3.68184999894517	-0.932372053452654	-1.12996655951891	Breast
-2.48370229270906	-1.68275809555646	-1.84180491169208	Breast
-3.39246319739467	-1.15580130874446	-1.20574243690762	Breast
-3.26899072015753	-0.993620117663495	-1.18274518050597	Breast
-2.62405308055977	-1.78007399578741	-1.97880502191093	Breast
-3.08545218745955	-0.884520807597543	-0.977604575444054	Breast
-3.16968763785137	-1.07645325459972	-0.934608716010498	Breast
-2.71121275665237	-0.995564128747616	-1.01258743246656	Breast
-3.01239387169069	-0.304476839806201	-0.532188557191244	Breast
-3.22363968553989	-0.936486837137431	-1.01943371283877	Breast
-2.60127904687441	-2.24635086483399	-2.20216084585082	Breast
-2.66193288769328	-0.922099908778521	-1.14708245614364	Breast
-3.16311270555919	-0.898692055371746	-1.11056469098535	Breast
-2.84806789350156	-1.25646643463087	-1.35197225547612	Breast
-3.2395127204745	-1.25387006387413	-1.41740759483476	Breast
-3.0504239512931	-0.639088689591773	-1.09459417618771	Breast
-3.51293555551613	-1.67359592066667	-1.62955759087642	Breast
-2.66030063201986	-1.24843157428073	-1.26254988702907	Breast
-4.58500926750662	-1.91342815939256	-1.63891327008723	Breast
-2.76321489980704	-1.84863742836872	-1.84204860357673	Breast
-4.1015746355154	-1.70346657849416	-1.39102208135912	Breast
-3.43741335072635	-1.06245615724082	-1.05478821231947	Breast
-2.77658458239736	-0.610572683740575	-0.854409517802728	Breast
-3.15228158361262	-1.13646685930054	-1.32795343649563	Breast
-2.74231564644976	-1.17576886750526	-1.20576796539417	Breast
-3.26114407866861	-1.23513585876504	-1.30811223100502	Breast
-3.03661594998006	-0.927890035211685	-0.93388919438895	Breast
-2.20957383254579	0.452408782328542	0.0534490647473536	Breast
-3.51555753882651	-1.20654405130349	-1.42095866635853	Breast
-2.88581198465134	-0.847166243062321	-1.29990255884004	Breast
-2.04498974594637	-0.260936048078349	-0.705186848587152	Breast
-3.765487210011	-1.33391159194945	-1.44338242196405	Breast
-3.408242196801	-1.01381078452708	-1.29865118719494	Breast
-2.82146952208634	-1.78291180885624	-1.70131894265184	Breast
-1.95930892706797	-1.39011760904374	-1.81786604087581	Breast
-3.35084900934618	-1.29542383370205	-1.23063647031732	Breast
-2.37144289794347	-0.945958286357078	-1.15649206956577	Breast
-2.49250529612505	-1.1014298652098	-1.2632689249114	Breast
-3.05597216817038	-1.5257447412072	-1.68922658409134	Breast
-3.59418469866602	-1.09784159963419	-1.42389229565498	Breast
-3.01087443452961	-0.921010399571827	-0.834319564807611	Breast
-2.89487403959021	-1.58313339285976	-1.68127332897174	Breast
-2.58252334484533	-1.29275555360307	-1.32818508076089	Breast
-4.1839363322285	-1.73011544258199	-1.65631850026041	Control
-3.05417369572897	-2.33281675380845	-2.46141397926448	Control
-3.99760388531354	-1.26824276634531	-1.29137337935605	Control
