WID-BC-index	immune cell proportion	type
-0.44613602723362	0.892386895432049	BRCA1
-1.60296420819838	0.489593577966396	Control
-1.12900079906022	0.168621910208736	BRCA1
-0.394920449835373	0.51616350763317	BRCA1
-1.48710538625846	0.280388847729501	Control
-1.02262237624811	0.223506546191078	BRCA1
-0.351703842534377	0.279492532520147	Control
-0.811974889188621	0.381683376946458	BRCA1
-0.537823729623866	0.338632498181801	Control
-1.4454117874826	0.289263126858223	Control
-0.92179924072384	0.213866083035435	Control
-1.242648758406	0.572939011816585	BRCA1
-1.21776253576745	0.714428219043961	Control
-0.614298877446131	0.393884107513038	Control
-0.625189205313012	0.102846921561592	BRCA1
-0.503048550224666	0.711402157116903	Control
-1.07916467543504	0.35218058506681	Control
-1.0016819755698	0.253825321240462	Control
-0.83023369670514	0.452976247515394	BRCA1
-1.76481004417666	0.408741115781057	Control
-0.951696563361511	0.4167731937376	BRCA1
-2.01691832424532	0.193361431912887	Control
-0.703349307366764	0.0666644523533794	BRCA1
-1.33622442500986	0.580116931931511	Control
-1.09571790503236	0.146815916224516	Control
-1.69043422644554	0.46617649010944	Control
-1.28282390413421	0.636148272252574	Control
-0.115077800202844	0.491808724326148	BRCA1
-1.13885801179476	0.150833111047902	Control
-0.981225514945551	0.436152885314402	BRCA1
-0.152971643180145	0.728138274176912	Control
-0.760274388787073	0.497814541495177	Control
-1.03080970784521	0.0200466335978267	Control
-0.945575451532673	0.185497996219032	BRCA1
-0.914292337283892	0.253555667879623	BRCA1
-0.476589566376733	0.587026562157222	Control
-0.717305915480797	0.229851462725183	BRCA1
-1.23251890570077	0.301801603454835	Control
-0.734862555845093	0.485869764753448	BRCA1
-0.416994189466684	0.155942400846329	BRCA1
-1.23918481682841	0.228657180887067	Control
-0.951210856873472	0.129200134176145	Control
-1.48489053354019	0.424329970883168	Control
-0.805353334221115	0.0815209851242661	BRCA1
-1.49409326276066	0.343801075760973	Control
-1.0385828557444	0.626397040526581	Control
-0.988875887890148	0.0605570655052156	BRCA1
-1.03962609142077	0.0850748393959006	Control
-1.55779426116877	0.0699591326172135	BRCA1
-1.37118218999408	0.238834717792523	BRCA1
-0.715302334364131	0.246870553451919	Control
-0.919673192197702	0.0775704963401229	Control
-1.28788979403621	0.478125359220459	Control
-0.859138166443185	0	Control
-1.37562739788176	0.486717533284199	BRCA1
-1.2061223674634	0.293750439483216	Control
-1.15069087677641	0.269332429389565	Control
-1.07080411457519	0.368477389632883	BRCA1
-0.659312748460121	0.706630260769663	Control
-1.43289068558751	0.425219300652288	Control
-1.45393912643535	0.142592091824951	Control
-1.15929370769583	0.171926837047256	BRCA1
-1.73266003242051	0.362033848357575	Control
-1.29091574840423	0.111102359161963	Control
-1.45398327828258	0.551383364375095	Control
-1.1581931304028	0.572691295392967	Control
-1.72661019181572	0.383335507587851	BRCA1
-1.66236828273264	0.229279370065144	Control
-1.10531210358054	0.0204591157139397	Control
-1.34399740928551	0.109694195613595	BRCA1
-0.879350855489121	0.194215018219925	BRCA1
-1.37265534884963	0.374709775046091	Control
-1.37064948118378	0.616862265958062	Control
-1.21825113292008	0.138133700187538	Control
-1.47578852852009	0.163444188483422	Control
-1.09550962149653	0.594438378964343	BRCA1
-1.39607405793323	0.0672807408089659	Control
-1.51562458090251	0.364479870109838	Control
-1.53888055949017	0.117311329506054	Control
-1.5692528993438	0.0140828852536543	BRCA1
-1.27497085576065	0.280361545697285	Control
-0.856975507910126	0.00786507774369065	BRCA1
-1.22392182787483	0.346605943676359	Control
-0.989464058804622	0.170879386355438	BRCA1
-1.97517874733476	0.174202596346551	BRCA1
-0.891181782092033	0.117942290402467	Control
-0.502575685123062	0.831302199841082	BRCA1
-1.15156647289325	0.20854582622289	Control
-1.01486653166798	0.260962208317292	BRCA1
-0.298294691212326	0.553583665950911	Control
-0.962949294207261	0.0535380523625706	BRCA1
-1.0704096727309	0.243675245723717	Control
-0.690068246079939	0.119815948250932	Control
-1.75630253667381	0.431191327770614	Control
-0.932836883913424	0.0799830905569801	Control
-1.72712356472951	0.335031844532987	Control
-0.189924013160523	0.612332835016573	BRCA1
-0.823749410436396	0.0340311624774422	BRCA1
-0.78985289911867	0.286998930278262	Control
-1.663526403436	0.273635537309299	Control
-0.511797700133087	0.265501506372679	Control
