WID-BC-index	immune cell proportion	type
0.22122924346985	0.993258860507702	Control
-0.982741391564828	0.993500940468379	Control
0.162653967662696	0.991266850806398	Control
-0.049466448956725	0.991451775511962	Control
-0.821924941523557	0.989073522827535	BRCA1
-0.552104867340404	0.990218921448772	BRCA1
-0.582667118857645	0.987904807605368	Control
-1.1573817093448	0.988474280160545	BRCA1
-1.34314871157112	0.991005474534325	Control
-0.288438869103991	0.99065488755036	BRCA1
0.351851341442488	0.997833243538417	Control
-0.422789538844824	0.992222536833952	Control
-0.646773429872648	0.99075877826886	BRCA1
-0.779192931453433	0.991258308523026	Control
-1.25470909931261	0.985954244697572	Control
-0.573995911820035	0.995100477884146	BRCA1
0.0694723986124754	0.993190490793436	Control
-1.35376372478169	0.990844923901346	Control
-0.20675808234582	0.991595385549336	Control
-0.349585925676548	0.988257830034026	BRCA1
-0.467640787279318	0.986466386302633	Control
-0.98384280220832	0.994608730946833	Control
-1.21303795359197	0.990037084939806	Control
-0.913883971042724	0.991485429127681	Control
-0.719013936297742	0.991773756153742	BRCA1
-1.10656852886235	0.991211189774475	Control
-0.531502326426675	0.994834094147299	Control
-0.56040234304197	0.999473455588174	Control
-0.400642043468105	0.994527269116094	Control
-0.938858084755663	0.993757998224473	Control
-0.884356594461371	0.990336298634533	Control
-0.0197825791632402	0.997458386629988	BRCA1
-0.517981553437537	0.992979829666691	Control
-0.859716625128889	0.994421865616135	Control
-0.960644142884577	0.991808002269797	Control
-1.18204036615438	0.99072978356332	BRCA1
-0.868681857348786	0.99147017325677	Control
-0.562564225031876	0.986644405325184	Control
-0.255145027495437	0.988622599302904	BRCA1
-0.874105773179355	0.98305428829198	Control
0.375961895724029	0.987878692263613	BRCA1
-0.935399229490412	0.986559210298536	Control
-0.345790214069339	0.985281356268171	BRCA1
0.582292041431792	0.986321501718069	Control
-0.0390703567288042	0.996676227987189	BRCA1
-1.391097668113	0.994930110242588	Control
-1.01007304160259	0.992282213890442	Control
-0.754979892743843	0.991727101049955	Control
0.0311326158899194	0.989606782771727	Control
-0.290977586333252	0.991966126542859	BRCA1
-0.722005473503248	0.992657953491588	Control
-0.680428772376454	0.997386860609447	Control
-0.138340950016113	0.993653961604707	Control
-0.539969367032389	0.989204773806186	BRCA1
-0.196826922843682	0.992860082158894	Control
-0.134357010677051	0.987561959731431	Control
-0.355471006322338	0.991735985311238	BRCA1
-1.09266275704589	0.988714191726232	Control
0.0562220179536597	0.993954630816058	BRCA1
-0.26219635427356	0.992427544872183	Control
-0.784738239137424	0.9908065667954	BRCA1
-1.0026878898945	1	BRCA1
-0.823115649661043	0.988934002081005	Control
0.56707606011256	0.990745979020471	Control
-0.655720656793239	0.988698028603052	BRCA1
-0.937237134969602	0.988498447262598	Control
0.145884371946658	0.99416602239457	BRCA1
-0.501735499111962	0.991191828600238	Control
-0.783125398583227	0.990700682305614	BRCA1
-0.57986287805757	0.994286331341079	Control
-1.22830492070812	0.989172913390505	Control
-0.567427929781729	0.989790536342761	BRCA1
-1.38858105091842	0.991241302068307	Control
-0.640769361838215	0.989175274835304	Control
0.220303705187726	0.988153047928559	Control
-0.000408220179373601	0.986728257896112	BRCA1
-1.36449003738675	0.992497387726253	Control
-0.795471947906492	0.991396204259526	BRCA1
-1.09557808863432	0.987638128858926	Control
-1.26438867878623	0.99011511159679	BRCA1
-0.486363055304026	0.99438973111946	Control
0.119162761866528	0.994633110706215	Control
-0.558742319981942	0.993423675670763	BRCA1
0.0969613541533656	0.995022547222893	Control
-0.160756958024566	0.993185160267297	BRCA1
-0.683043865988663	0.995295105800516	Control
-0.705052731142834	0.999298975561866	BRCA1
-0.954446166670963	0.996291931901677	Control
0.0257357106697456	0.993685951401767	BRCA1
-1.40523723630652	0.995828751177681	Control
-0.481214670912285	0.988479309907382	Control
0.100433286938983	0.998269729502518	BRCA1
-0.629004278088388	0.990953288853449	Control
-0.371463297078841	0.989849430473795	Control
-0.6228450772674	0.992435124446581	Control
-1.04746575751175	0.996088897091553	BRCA1
0.3224736699361	0.993856855075955	BRCA1
-0.0566639278121524	0.99198046535533	Control
-0.164651903260277	0.993830064927532	BRCA1
-0.900006592683276	0.99414917574361	Control
-1.06054346798082	0.991801700969572	Control
-0.0331139125562064	0.984772319545297	Control
-0.585136103326419	0.996211269661268	BRCA1
-1.09883478066056	0.993372426632406	BRCA1
0.219444142675772	0.988855492642094	BRCA1
-0.788160879934909	0.990585559630986	Control
