WID-BC-index	immune cell proportion	type
-0.285454681279536	0.641273819288292	Control
0.508429293782419	0.0291357766005026	BRCA2
-0.542437494543944	0.529544714543941	Control
-0.87601091967128	0.756413519801741	BRCA2
-0.309666398049569	0.686912902719141	Control
-1.26672834508996	0.595093767330325	Control
-1.0009618740408	0.629915692126859	Control
-0.571913447632248	0.667178622771643	BRCA2
-1.44487165592556	0.0720878870151379	Control
-0.969196471769473	0.663316610676985	Control
-0.865611704921024	0.369288694532689	BRCA2
-0.169899487858492	0.35692787161925	Control
0.48029528885036	0.373425616294038	BRCA2
-0.544879309867154	0.867778650508242	Control
-0.471184220044779	0.589820127217916	BRCA2
-0.646518425326316	0.470191945050076	BRCA2
-0.825424833473105	0.431341730295501	Control
0.350087649476142	0.33603105217202	Control
-0.400268585590194	0.459607506981167	Control
-0.885229227628191	0.824805114271232	BRCA2
-0.76245430172208	0.602445580466639	Control
-0.651957225915781	0.80784787354615	Control
-0.684162192058051	0.698931536816087	BRCA2
-0.118061202679709	0.82039273783014	BRCA2
0.238810645968689	0.00907832610110386	Control
-0.752581543540592	0.61114979351578	Control
0.838574232009705	0.577786198654181	BRCA2
0.103839937514043	0.514825104467566	Control
-0.641665739260357	0.938659304657537	BRCA2
0.0450094386153907	0.0644434907922936	Control
-0.936069547689329	0.827191869450091	Control
-0.795973445676919	0.776508126383856	Control
-1.28216855738802	0.304533913238098	Control
-0.0583952658847599	0.455590433222765	Control
-0.790699805444153	0.21495625813854	BRCA2
-0.639786128988185	0.814454740398401	BRCA2
-1.20494615912358	0.680876845323149	BRCA2
-1.05979066572347	0.10264985289906	Control
-0.210440097863483	0.668982000167781	BRCA2
-0.551050508355717	0.174589244802584	BRCA2
-0.0765420922846091	0.716551298816554	Control
-0.827753037974658	0.180569094988464	Control
-0.299875413775327	0.899862151806646	BRCA2
-0.788664066411514	0.571135145827676	Control
-0.964387076112746	0.431342126961217	BRCA2
-0.753720953470067	0.695235375063727	Control
0.409624369702638	0.177579922441187	BRCA2
-0.024612360320554	0.502788827063836	BRCA2
0.376880642476891	0.895763965670182	Control
0.57666486921147	0.720356878944064	BRCA2
-0.107349978265792	0.306297007284175	Control
-0.926616536696535	0.140258610273171	BRCA2
0.399920213153576	0.87620889263498	Control
-0.504466326712123	0.781034566669167	BRCA2
0.0522133975242381	0.490762090903933	Control
-0.35786440351584	0.379172957220603	Control
-0.614939916429989	0.24690081188381	Control
0.305411342192693	0.915114228331195	Control
-0.998952307311236	0.223571833161952	Control
-0.523704804558344	0.604995435546154	Control
0.144080770810179	0.653968066929166	Control
-1.09074624235523	0.280735232866798	Control
-1.22419094774999	0.663458462963186	Control
-0.501839617127815	0.700615142028663	BRCA2
0.411646659157506	0.220372824168657	BRCA2
0.0401536151368633	0.377423267739207	BRCA2
-1.64739143732402	0.821645254303534	Control
-0.435646358854977	0.961493100139629	Control
1.23246030008443	0.191832043375983	Control
-0.118290231503008	0.0861494786957099	Control
-0.663490940509847	0.650457847055897	Control
-0.2513912642714	0.735324439855971	Control
0.509313492942661	0.660454570138871	Control
-1.60554961904757	0.13060277929506	BRCA2
-0.0364214324670334	0.886825177620122	Control
-0.798175326097873	0.272549755537435	Control
-0.735269993757296	0.757783250812088	Control
0.392665290523346	0.623570801264474	BRCA2
0.430464715779901	0.806889370368633	Control
-0.580669075611289	0.336958774258815	Control
-0.780624325700658	0.771194847936058	Control
-1.40227166506365	0.457118863263266	Control
-0.729812190846307	0.747791237145386	Control
-0.791395688166231	0.358339622168426	Control
-1.14091344084402	0.636179423687919	BRCA2
0.531045045071814	0.668673454171647	Control
-0.856689293550304	0.607698157153537	BRCA2
-0.0520971913147349	0.347182139523381	Control
-0.518909314865627	0.679703965624605	BRCA2
-1.62458794756689	0.615158959656072	Control
-0.09547297191019	0.602660206422177	BRCA2
-1.35679025964805	0.742005317893995	Control
-0.7259838038554	0.7209809128897	BRCA2
-0.376188568080188	0.335824321062056	Control
-0.913949122017277	0.654193848402902	Control
-0.733278763573115	0.778080909888249	Control
-0.481529632657649	0.688952169914829	BRCA2
-0.859131289940226	0.289360747541401	Control
-0.0991612746255397	0.920547218020186	BRCA2
-1.44111492970616	0.861055501764521	Control
-0.599105038285263	0	Control
-0.864461170995269	0.908145612473723	Control
0.0915302147707478	0.59449681308871	Control
0.548459477523774	0.718163165507907	Control
-0.862055349119227	0	Control
-1.16256165665417	0.724850148605302	Control
-0.855553422126735	0.122562157249241	Control
-1.47409413099428	0.0995112012167332	Control
-0.934029932643341	0.724264772842756	Control
-0.375059662949819	0.800674667674725	Control
-0.351968298969266	0.0423404172788184	BRCA2
-0.345748167234207	0.609238089597266	Control
-0.426550625612421	0.892405652003611	Control
-1.24729920988732	0.509984451213421	Control
-0.908381698384027	0.39139784091197	Control
-0.661833826050105	0.350775807006386	BRCA2
-0.0582806158662613	0.00248901605233782	Control
0.162935844453189	0.138626540053431	Control
-0.103011316655664	0.100026103471939	Control
-0.763125963262564	0.716534279590516	Control
-0.317169477442081	0.803657629499332	Control
-0.987153031767473	0.729853506943295	Control
0.424765781027628	0.730660571889746	BRCA2
-0.424248772926259	0.754151956856062	BRCA2
-1.09360381265964	0.468238735260176	Control
0.532428674699828	0	Control
-0.106102420287484	0.626526927514239	Control
0.423543954048226	0.599774177578656	Control
-0.126690071622093	0.407833971317034	BRCA2
-0.955273918940286	0.852307368297376	Control
-1.05790122308627	0.314322259330501	Control
-0.259340734379109	0.779927642825277	Control
0.656506588680849	0.685547073306815	BRCA2
0.00436310378288318	0.921637417761828	Control
-0.563816528277926	0.255610134659283	BRCA2
0.734093389107823	0.15294374597172	Control
0.139641953499071	0	Control
-1.06446345540745	0	Control
-0.0555062630515842	0.817217369519719	Control
-0.339553329628784	0.292140517610757	BRCA2
-0.148611619868502	0.330040008424823	Control
-1.22584530985428	0.288704989536619	BRCA2
-0.99508191707507	0.553257877745302	Control
-0.66208354667479	0.791808405977672	BRCA2
-1.40438834261058	0.42666606402093	Control
-0.428672327081757	0.479329994082782	BRCA2
-0.667859676826935	0.396724781752839	Control
-0.260214415955233	0.576053387316066	Control
-1.24605937789557	0.14242722662696	Control
-0.548823001766995	0.433834364736213	Control
-0.602584285897237	0	BRCA2
-1.28855650536605	0.233675830659648	BRCA2
-0.741044602562092	0.361278655840912	Control
-0.328391207978281	0.64801728818337	Control
-0.242494653129175	0.599631183386416	Control
-0.110532812413484	0.646618465965224	Control
-0.445534340397461	0.674317803285607	Control
-0.129972173216546	0.3921458384307	BRCA2
0.240868553986524	0.577160979045563	BRCA2
-0.431984013542609	0.494248822735752	Control
0.408099031073475	0.547688301411544	Control
-1.25418223115569	0.185113170794025	Control
0.26149727805733	0.655064858125044	Control
-0.181739008755062	0.416100576257074	BRCA2
-0.443651379028086	0.756567137520352	Control
-1.24630639020782	0.50416107413848	BRCA2
-0.401113188277071	0.002293504728359	Control
