WID-BC-index	immune cell proportion	type
-1.60296420819838	0.489593577966396	Control
-1.48710538625846	0.280388847729501	Control
-0.351703842534377	0.279492532520147	Control
-0.537823729623866	0.338632498181801	Control
-1.4454117874826	0.289263126858223	Control
-0.90573345223385	0.179048626712224	BRCA2
-0.92179924072384	0.213866083035435	Control
-1.21776253576745	0.714428219043961	Control
-0.614298877446131	0.393884107513038	Control
-0.503048550224666	0.711402157116903	Control
-1.36203518209283	0.0316647248843206	BRCA2
-1.07916467543504	0.35218058506681	Control
-1.0016819755698	0.253825321240462	Control
-0.911389272405043	0.193937119736867	BRCA2
-1.76481004417666	0.408741115781057	Control
-0.859703591134692	0.235962011934464	BRCA2
-2.01691832424532	0.193361431912887	Control
-0.472088721301432	0.364537271079095	BRCA2
-1.33622442500986	0.580116931931511	Control
-1.05338838618822	0.38982542260875	BRCA2
-1.09571790503236	0.146815916224516	Control
-1.69043422644554	0.46617649010944	Control
-1.09573482842865	0.618432157933799	BRCA2
-1.28282390413421	0.636148272252574	Control
-1.13885801179476	0.150833111047902	Control
-0.152971643180145	0.728138274176912	Control
-0.760274388787073	0.497814541495177	Control
-0.791316449662296	0.179940974314302	BRCA2
-1.03080970784521	0.0200466335978267	Control
-1.1013538079974	0.00966087642233881	BRCA2
-0.476589566376733	0.587026562157222	Control
-1.08302753791869	0.696814835435324	BRCA2
-0.551114613958138	0.023511780926368	BRCA2
-1.23251890570077	0.301801603454835	Control
-1.23918481682841	0.228657180887067	Control
-0.951210856873472	0.129200134176145	Control
-1.48489053354019	0.424329970883168	Control
-1.49409326276066	0.343801075760973	Control
-1.01486829676222	0.452384969094449	BRCA2
-1.0385828557444	0.626397040526581	Control
-1.03962609142077	0.0850748393959006	Control
-1.37572559281408	0.101280497951806	BRCA2
-0.715302334364131	0.246870553451919	Control
0.0551072906335934	0.762339503508399	BRCA2
-0.919673192197702	0.0775704963401229	Control
-1.28788979403621	0.478125359220459	Control
-0.660193654239469	0.260343376569244	BRCA2
-0.859138166443185	0	Control
-0.930875772844574	0	BRCA2
-1.2061223674634	0.293750439483216	Control
-1.15069087677641	0.269332429389565	Control
-0.659312748460121	0.706630260769663	Control
-1.43289068558751	0.425219300652288	Control
-1.45393912643535	0.142592091824951	Control
-1.73266003242051	0.362033848357575	Control
-0.733395507199766	0.102195157809926	BRCA2
-1.40546330547729	0.392438697745325	BRCA2
-1.29091574840423	0.111102359161963	Control
-1.45398327828258	0.551383364375095	Control
-1.1581931304028	0.572691295392967	Control
-1.64437635968003	0.294202484973423	BRCA2
-1.66236828273264	0.229279370065144	Control
-0.688485293468328	0.200884983333167	BRCA2
-0.807635662849885	0.648004038584842	BRCA2
-1.10531210358054	0.0204591157139397	Control
-0.928092774839385	0.546523522148748	BRCA2
-1.37265534884963	0.374709775046091	Control
-0.46076747307071	0.584312482163771	BRCA2
-1.37064948118378	0.616862265958062	Control
-1.21825113292008	0.138133700187538	Control
-1.35906417354174	0.279325815494791	BRCA2
-0.123924509709422	0.836016490826943	BRCA2
-1.47578852852009	0.163444188483422	Control
-1.39607405793323	0.0672807408089659	Control
-1.51562458090251	0.364479870109838	Control
-0.707494978260394	0.383343741179459	BRCA2
-1.53888055949017	0.117311329506054	Control
-1.27497085576065	0.280361545697285	Control
-1.43114778235847	0.679043095883476	BRCA2
-0.100529636312353	0.293605212855534	BRCA2
-1.22392182787483	0.346605943676359	Control
-0.891181782092033	0.117942290402467	Control
-1.15156647289325	0.20854582622289	Control
-0.298294691212326	0.553583665950911	Control
-1.0704096727309	0.243675245723717	Control
-0.690068246079939	0.119815948250932	Control
-1.75630253667381	0.431191327770614	Control
0.0653029149794754	0.739438457344554	BRCA2
-1.34222221176087	0.199577766816632	BRCA2
-1.30828667225075	0.0351416696853932	BRCA2
-0.932836883913424	0.0799830905569801	Control
-1.72712356472951	0.335031844532987	Control
-0.78985289911867	0.286998930278262	Control
-0.939498373642516	0.530920331889484	BRCA2
