WID-BC-index	days	type
1.68550940592134	22.89	Breast
1.56173108017598	20.88	Breast
1.4328814354806	62.85	Breast
1.61182920686395	33.89	Breast
1.42956813604938	28.79	Breast
1.66759479972279	41.94	Breast
1.51602397871847	35.77	Breast
1.44103413477194	20.04	Breast
1.57021425354121	38.05	Breast
1.64093067509273	47.93	Breast
1.66459985984058	14.03	Breast
1.44703016359358	11.99	Breast
1.49494343011529	25.95	Breast
1.41901987003575	35.05	Breast
1.59624714061442	53.93	Breast
1.25409683841055	32.95	Breast
1.48837702694146	20.67	Breast
1.44390234142094	36.85	Breast
1.63616699079938	47.12	Breast
1.61758708924291	10.03	Breast
1.40121782491318	55.84	Breast
1.51638854301963	34.96	Breast
1.54774712634417	20.95	Breast
1.58214312008589	41.94	Breast
2.5690889090292	38.05	Breast
1.59599530567837	29.89	Breast
1.40555929497345	14.03	Breast
1.63406693773854	41.93	Breast
1.65254156728252	34.89	Breast
1.57720193448982	15.03	Breast
1.63287228056282	32.89	Breast
1.71219811734736	21.88	Breast
1.43951409002808	22.97	Breast
1.99410929146274	34.94	Breast
1.56532812951391	24.84	Breast
1.59979460352482	18.04	Breast
2.4083227115387	22.96	Breast
1.5071324763979	12.03	Breast
1.66544829690252	40.93	Breast
1.6099125194704	22.22	Breast
1.48671299113706	29.06	Breast
1.53683882767525	19.95	Breast
1.64630460050645	13.02	Breast
1.48813472241638	65.98	Breast
1.64586377143084	21.88	Breast
1.49467676877073	34.94	Breast
1.61098788696658	20.04	Breast
1.46515320892468	26.05	Breast
1.52999588875288	45.86	Breast
2.21277647358296	16.22	Breast
1.68394940854116	29.22	Breast
1.50710594199185	42.85	Breast
1.49241040585351	32.89	Breast
1.39139319127965	10.98	Breast
1.39002917931877	20.84	Breast
1.55104377439314	39.89	Breast
1.55630169264852	20.2	Breast
1.56881327451134	19.04	Breast
1.42390569324579	15.02	Breast
1.63205147928816	18.04	Breast
1.6582202506249	19.04	Breast
1.51547847600606	30.97	Breast
1.66001337097255	33.79	Breast
1.66109338675941	32.79	Breast
1.61090185866682	13.79	Breast
1.67900211551563	26.8	Breast
1.57910830508611	31.79	Breast
1.46535750788095	5.9	Breast
1.69465479659951	41.83	Breast
1.6778193269264	20.96	Breast
1.62463333097113	48.86	Breast
1.76650958469921	61.95	Breast
1.60725323196425	10.93	Breast
1.52948458289888	46.85	Breast
1.59327572828643	14.93	Breast
1.62752427132597	34.85	Breast
1.47810497633174	16.94	Breast
1.43464380158376	20.96	Breast
2.04250072279271	20.94	Breast
1.62531077355954	14.94	Breast
1.47017836657075	7.86	Breast
1.51159761357886	34.84	Breast
1.66915134226564	17.81	Breast
2.04073932568173	17.81	Breast
1.92540090659759	18.81	Breast
1.39116409913255	9.93	Breast
1.71354343003431	34.92	Breast
1.39290415188926	34.92	Breast
1.79363186427178	32.79	Breast
1.53859000992226	17.81	Breast
1.39013568570122	28.09	Breast
1.59038873948194	5.17	Breast
1.4644714675954	29.94	Breast
1.67003175928795	34.96	Breast
1.69527641013562	15.93	Breast
1.62682884770492	61.95	Breast
1.53478534735254	70.95	Breast
1.3976519831677	9.93	Breast
1.96904155735272	13.78	Breast
1.415552242738	50.93	Breast
1.40008022043434	21.07	Breast
1.57541199639475	8.18	Breast
1.40821431909168	21.97	Breast
1.43523796343101	1.13	Breast
1.48571416634092	61.95	Breast
1.56789080680752	21.13	Breast
1.67218058236722	14.07	Breast
1.56136091689714	21.94	Breast
1.48890817011132	1.13	Breast
