intensities	type	dataset	set
544	oob_red	KI_val	Biobanked samples
755	oob_red	KI_val	Biobanked samples
890	oob_red	KI_val	Biobanked samples
688	oob_red	KI_val	Biobanked samples
489	oob_red	KI_val	Biobanked samples
512	oob_red	KI_val	Biobanked samples
574	oob_red	KI_val	Biobanked samples
575	oob_red	KI_val	Biobanked samples
577	oob_red	KI_val	Biobanked samples
742	oob_red	KI_val	Biobanked samples
776	oob_red	KI_val	Biobanked samples
755	oob_red	KI_val	Biobanked samples
559	oob_red	KI_val	Biobanked samples
610	oob_red	KI_val	Biobanked samples
592	oob_red	KI_val	Biobanked samples
498	oob_red	KI_val	Biobanked samples
886	oob_red	KI_val	Biobanked samples
813	oob_red	KI_val	Biobanked samples
860	oob_red	KI_val	Biobanked samples
870	oob_red	KI_val	Biobanked samples
626	oob_red	KI_val	Biobanked samples
703	oob_red	KI_val	Biobanked samples
703	oob_red	KI_val	Biobanked samples
640	oob_red	KI_val	Biobanked samples
569	oob_red	KI_val	Biobanked samples
645	oob_red	KI_val	Biobanked samples
613	oob_red	KI_val	Biobanked samples
509	oob_red	KI_val	Biobanked samples
587	oob_red	KI_val	Biobanked samples
677	oob_red	KI_val	Biobanked samples
617	oob_red	KI_val	Biobanked samples
629	oob_red	KI_val	Biobanked samples
698	oob_red	KI_val	Biobanked samples
938	oob_red	KI_val	Biobanked samples
901	oob_red	KI_val	Biobanked samples
873	oob_red	KI_val	Biobanked samples
571	oob_red	KI_val	Biobanked samples
632	oob_red	KI_val	Biobanked samples
623	oob_red	KI_val	Biobanked samples
659	oob_red	KI_val	Biobanked samples
596	oob_red	KI_val	Biobanked samples
637	oob_red	KI_val	Biobanked samples
643	oob_red	KI_val	Biobanked samples
497	oob_red	KI_val	Biobanked samples
399	oob_red	KI_val	Biobanked samples
399	oob_red	KI_val	Biobanked samples
495	oob_red	KI_val	Biobanked samples
504	oob_red	KI_val	Biobanked samples
668	oob_red	KI_val	Biobanked samples
625	oob_red	KI_val	Biobanked samples
577	oob_red	KI_val	Biobanked samples
613	oob_red	KI_val	Biobanked samples
534	oob_red	KI_val	Biobanked samples
638	oob_red	KI_val	Biobanked samples
671	oob_red	KI_val	Biobanked samples
580	oob_red	KI_val	Biobanked samples
582	oob_red	KI_val	Biobanked samples
742	oob_red	KI_val	Biobanked samples
687	oob_red	KI_val	Biobanked samples
702	oob_red	KI_val	Biobanked samples
526	oob_red	KI_val	Biobanked samples
578	oob_red	KI_val	Biobanked samples
576	oob_red	KI_val	Biobanked samples
567	oob_red	KI_val	Biobanked samples
896	oob_red	KI_val	Biobanked samples
821	oob_red	KI_val	Biobanked samples
804	oob_red	KI_val	Biobanked samples
781	oob_red	KI_val	Biobanked samples
398	oob_red	KI_val	Biobanked samples
336	oob_red	KI_val	Biobanked samples
488	oob_red	KI_val	Biobanked samples
639	oob_red	KI_val	Biobanked samples
412	oob_red	KI_val	Biobanked samples
551	oob_red	KI_val	Biobanked samples
578	oob_red	KI_val	Biobanked samples
609	oob_red	KI_val	Biobanked samples
526	oob_red	KI_val	Biobanked samples
558	oob_red	KI_val	Biobanked samples
587	oob_red	KI_val	Biobanked samples
603	oob_red	KI_val	Biobanked samples
483	oob_red	KI_val	Biobanked samples
583	oob_red	KI_val	Biobanked samples
837	oob_red	KI_val	Biobanked samples
756	oob_red	KI_val	Biobanked samples
873	oob_red	KI_val	Biobanked samples
746	oob_red	KI_val	Biobanked samples
822	oob_red	KI_val	Biobanked samples
804	oob_red	KI_val	Biobanked samples
660	oob_red	KI_val	Biobanked samples
693	oob_red	KI_val	Biobanked samples
608	oob_red	KI_val	Biobanked samples
682	oob_red	KI_val	Biobanked samples
