mode0	mode1	rho
0.050880626223092	0.896281800391389	7.83
0.0528375733855186	0.898238747553816	7.93
0.050880626223092	0.892367906066536	7.46
0.0645792563600783	0.900195694716243	7.57
0.060665362035225	0.900195694716243	7.75
0.0645792563600783	0.904109589041096	7.95
0.0645792563600783	0.900195694716243	7.57
0.0567514677103718	0.888454011741683	6.89
0.0567514677103718	0.87866927592955	6.19
0.0665362035225049	0.894324853228963	6.98
0.076320939334638	0.892367906066536	6.47
0.0743639921722113	0.892367906066536	6.54
0.0665362035225049	0.87866927592955	5.89
0.0684931506849315	0.886497064579256	6.33
0.0645792563600783	0.886497064579256	6.46
0.0743639921722113	0.89041095890411	6.4
0.0821917808219178	0.898238747553816	6.69
0.0802348336594912	0.902152641878669	7.07
0.0743639921722113	0.894324853228963	6.68
0.0645792563600783	0.888454011741683	6.6
0.060665362035225	0.886497064579256	6.6
0.060665362035225	0.892367906066536	7.05
0.0645792563600783	0.882583170254403	6.2
0.0587084148727984	0.88454011741683	6.52
0.060665362035225	0.868884540117417	5.5
0.0665362035225049	0.886497064579256	6.39
0.0724070450097847	0.882583170254403	5.95
0.0684931506849315	0.874755381604697	5.61
0.0743639921722113	0.870841487279843	5.26
0.0528375733855186	0.894324853228963	7.55
0.0450097847358121	0.894324853228963	7.92
0.0489236790606654	0.894324853228963	7.73
0.0469667318982387	0.896281800391389	8.02
0.0430528375733855	0.89041095890411	7.63
0.0547945205479452	0.892367906066536	7.29
0.0567514677103718	0.888454011741683	6.89
0.0587084148727984	0.896281800391389	7.47
0.0665362035225049	0.900195694716243	7.48
0.0665362035225049	0.898238747553816	7.31
0.0684931506849315	0.888454011741683	6.46
0.0665362035225049	0.886497064579256	6.39
0.0724070450097847	0.894324853228963	6.75
0.0645792563600783	0.888454011741683	6.6
0.0743639921722113	0.898238747553816	6.99
0.0841487279843444	0.896281800391389	6.48
0.0724070450097847	0.888454011741683	6.33
0.0684931506849315	0.896281800391389	7.06
0.0684931506849315	0.894324853228963	6.9
0.0430528375733855	0.886497064579256	7.28
