mode0	mode1	rho
0.0626223091976517	0.87866927592955	6.01
0.0665362035225049	0.864970645792564	5.16
0.0626223091976517	0.876712328767123	5.89
0.0587084148727984	0.859099804305284	5.06
0.0528375733855186	0.837573385518591	4.3
0.0567514677103718	0.853228962818004	4.84
0.0645792563600783	0.86105675146771	5.02
0.060665362035225	0.868884540117417	5.5
0.0704500978473581	0.870841487279843	5.35
0.0704500978473581	0.864970645792564	5.07
0.0528375733855186	0.85518590998043	5.01
0.0567514677103718	0.868884540117417	5.6
0.0587084148727984	0.851272015655577	4.72
0.0587084148727984	0.85518590998043	4.88
0.0665362035225049	0.86105675146771	4.97
0.0704500978473581	0.870841487279843	5.35
0.0567514677103718	0.853228962818004	4.84
0.050880626223092	0.841487279843444	4.48
0.0587084148727984	0.85518590998043	4.88
0.0645792563600783	0.863013698630137	5.11
0.0626223091976517	0.870841487279843	5.55
0.0645792563600783	0.863013698630137	5.11
0.0743639921722113	0.868884540117417	5.16
0.060665362035225	0.847358121330724	4.52
0.0489236790606654	0.821917808219178	3.85
0.050880626223092	0.823874755381605	3.88
0.0547945205479452	0.839530332681018	4.34
0.0665362035225049	0.859099804305284	4.89
0.0724070450097847	0.849315068493151	4.38
0.0704500978473581	0.859099804305284	4.8
0.050880626223092	0.85518590998043	5.05
0.060665362035225	0.847358121330724	4.52
0.0567514677103718	0.851272015655577	4.76
0.0547945205479452	0.845401174168297	4.56
0.0567514677103718	0.851272015655577	4.76
0.0743639921722113	0.86105675146771	4.81
0.0724070450097847	0.868884540117417	5.21
0.0489236790606654	0.859099804305284	5.29
0.050880626223092	0.853228962818004	4.96
0.0528375733855186	0.859099804305284	5.19
0.0626223091976517	0.870841487279843	5.55
0.0645792563600783	0.868884540117417	5.4
0.0684931506849315	0.853228962818004	4.6
0.0684931506849315	0.876712328767123	5.72
0.0724070450097847	0.874755381604697	5.51
0.0567514677103718	0.818003913894325	3.63
0.0489236790606654	0.794520547945205	3.16
0.0528375733855186	0.825831702544031	3.91
0.0567514677103718	0.835616438356164	4.17
0.0684931506849315	0.845401174168297	4.31
0.0724070450097847	0.86105675146771	4.85
0.0547945205479452	0.839530332681018	4.34
0.050880626223092	0.831702544031311	4.13
0.0587084148727984	0.853228962818004	4.8
0.0665362035225049	0.86692759295499	5.25
0.0665362035225049	0.857142857142857	4.8
0.0743639921722113	0.86692759295499	5.07
0.0567514677103718	0.857142857142857	5.01
0.0547945205479452	0.837573385518591	4.27
0.0587084148727984	0.849315068493151	4.64
0.0684931506849315	0.85518590998043	4.68
0.0645792563600783	0.859099804305284	4.93
0.0665362035225049	0.863013698630137	5.06
0.076320939334638	0.86105675146771	4.77
0.0743639921722113	0.864970645792564	4.98
0.0665362035225049	0.87866927592955	5.89
0.0665362035225049	0.870841487279843	5.45
0.0665362035225049	0.876712328767123	5.77
0.0704500978473581	0.88454011741683	6.14
0.076320939334638	0.882583170254403	5.84
0.0782778864970646	0.87279843444227	5.26
0.0547945205479452	0.86692759295499	5.55
0.050880626223092	0.851272015655577	4.88
0.0489236790606654	0.85518590998043	5.1
0.0547945205479452	0.857142857142857	5.06
0.0626223091976517	0.870841487279843	5.55
0.0665362035225049	0.876712328767123	5.77
0.0684931506849315	0.87279843444227	5.5
0.0626223091976517	0.851272015655577	4.64
0.076320939334638	0.847358121330724	4.24
0.0547945205479452	0.821917808219178	3.77
0.0684931506849315	0.839530332681018	4.11
0.0743639921722113	0.843444227005871	4.14
